Darija_Arabe,Arabizi,Arabe_Standard,Anglais
تلاجة,tlaja,ثلاجة,fridge,
تلاجة,telaja,ثلاجة,fridge,
تلاجة,talaja,ثلاجة,fridge,
تلاجة,thllaja,ثلاجة,fridge,
تلاجة,thellaja,ثلاجة,fridge,
تلاجة,thallaja,ثلاجة,fridge,
تلاجة,thlaja,ثلاجة,fridge,
تلاجة,thelaja,ثلاجة,fridge,
تلاجة,thalaja,ثلاجة,fridge,
فران,frran,فرن,oven,
فران,farran,فرن,oven,
فران,ferran,فرن,oven,
فران,fran,فرن,oven,
فران,faran,فرن,oven,
فران,feran,فرن,oven,
مطرقة,mtr9a,مطرقة,hammer,
مطرقة,mtar9a,مطرقة,hammer,
مطرقة,mtir9a,مطرقة,hammer,
مطرقة,mtrqa,مطرقة,hammer,
مطرقة,mtarqa,مطرقة,hammer,
مطرقة,mtirqa,مطرقة,hammer,
مسمار,msmar,مسمار,nail,
مسمار,masmar,مسمار,nail,
مسمار,mesmar,مسمار,nail,
ضوضان,dodan,مطبّات السرعة,speed bumps,
ضوضان,dowdan,مطبّات السرعة,speed bumps,
صرب,srb,مجاري,sewer,
صرب,serb,مجاري,sewer,
صرب,sarb,مجاري,sewer,
قوادس,qwadis,مجاري,sewer,
قوادس,9wadis,مجاري,sewer,
زحام,z7am,زحام,crowdedness,
زحام,zz7am,زحام,crowdedness,
زحام,zham,زحام,crowdedness,
زحام,zzham,زحام,crowdedness,
روينة,rwina,روينة,mess,
روينة,rwena,روينة,mess,
روينة,rouina,روينة,mess,
زبل,zbl,سلة المهملات,trash,
زبل,zbel,سلة المهملات,trash,
زبل,zbal,سلة المهملات,trash,
رويضة,rwida,عجلة,wheel,
رويضة,rweda,عجلة,wheel,
رويضة,rouida,عجلة,wheel,
فران,fran,فرن,brake,
بيرمي,pirmi,رخصة سياقة,driver's license,
بيرمي,ppirmi,بيرمي,driver's license,
بيرمي,permi,رخصة سياقة,driver's license,
شيفور,chifor,سائق,driver,
شيفور,chifour,سائق,driver,
شيفور,shifor,سائق,driver,
شيفور,shifour,سائق,driver,
زيارة,zyara,زيارة,visit,
زيارة,ziara,زيارة,visit,
دموع,dmou3,دموع,tears,
دموع,dmo3,دموع,tears,
ناس,nas,ناس,people,
ناس,nnas,ناس,people,
ناس,nass,ناس,people,
حياة,7ayat,حياة,life,
حياة,hayat,حياة,life,
مراهق,mora8i9,مراهق,teenager,
مراهق,moraa8i9,مراهق,teenager,
مراهق,morahi9,مراهق,teenager,
مراهق,moraahi9,مراهق,teenager,
مراهق,mora8iq,مراهق,teenager,
مراهق,moraa8iq,مراهق,teenager,
مراهق,morahiq,مراهق,teenager,
مراهق,moraahiq,مراهق,teenager,
شاب,chabb,شاب,young,
شاب,chaabb,شاب,young,
شاب,chaab,شاب,young,
شباب,chabab,شباب,youth,
شباب,chabaab,شباب,youth,
راجل,rajl,رجل,man,
راجل,rajel,رجل,man,
راجل,rajal,رجل,man,
مرا,mra,امرأة,woman,
رجال,rjal,رجال,men,
عيالات,3yalat,نساء,women,
عيالات,3ialat,نساء,women,
توام,twam,توأم,twins,
توام,twama,توأم,twins,
عرس,3rs,عرس,wedding,
عرس,3ers,عرس,wedding,
عرس,3ars,عرس,wedding,
صداق,sda9,مهر,dowry,
صداق,sdaa9,مهر,dowry,
خطيبة,khatiba,خطيبة,fiancee,
خطيبة,5atyba,خطيبة,fiancee,
خطيبة,5atiba,خطيبة,fiancee,
عروسة,3rousa,عروسة,bride,
عروسة,3rosa,عروسة,bride,
عروسة,3roussa,عروسة,bride,
عروسة,3rossa,عروسة,bride,
طلاق,tla9,طلاق,divorce,
طلاق,tala9,طلاق,divorce,
طلاق,tlaq,طلاق,divorce,
مجتمع,mojtama3,مجتمع,society,
حضارة,7adara,حضارة,civilization,
حضارة,hadara,حضارة,civilization,
حضارة,7adhara,حضارة,civilization,
حضارة,hadhara,حضارة,civilization,
قبيلة,9bila,قبيلة,tribe,
قبيلة,qbila,قبيلة,tribe,
قبيلة,9abila,قبيلة,tribe,
قبيلة,qabila,قبيلة,tribe,
مراجعة,moraja3a,مراجعة,review,
هوية,8owia,هوية,identity,
هوية,8owyya,هوية,identity,
هوية,8owya,هوية,identity,
هوية,howia,هوية,identity,
هوية,howyya,هوية,identity,
هوية,howya,هوية,identity,
تصريح,tsri7,تصريح,statement,
تصريح,tasri7,تصريح,statement,
تصريح,tesri7,تصريح,statement,
تصريح,tsrih,تصريح,statement,
تصريح,tasrih,تصريح,statement,
تصريح,tesrih,تصريح,statement,
إعلان,i3lan,إعلان,declaration,
قرار,9arar,قرار,decision,
قرار,qarar,قرار,decision,
عارضة,3aryda,عارضة,petition,
عارضة,3arida,عارضة,petition,
مبادرة,mobaadara,مبادرة,initiative,
مبادرة,mobadara,مبادرة,initiative,
قتراح,9tira7,اقتراح,suggestion,
قتراح,i9tira7,اقتراح,suggestion,
قتراح,qtira7,اقتراح,suggestion,
قتراح,iqtira7,اقتراح,suggestion,
قتراح,9tirah,اقتراح,suggestion,
قتراح,i9tirah,اقتراح,suggestion,
قتراح,qtirah,اقتراح,suggestion,
قتراح,iqtirah,اقتراح,suggestion,
خطة,khotta,خطة,plan,
خطة,5otta,خطة,plan,
خطة,khota,خطة,plan,
خطة,5ota,خطة,plan,
ختيار,khtiar,اختيار,choice,
ختيار,khtyar,اختيار,choice,
ختيار,ikhtiar,اختيار,choice,
ختيار,5tiar,اختيار,choice,
ختيار,5tyar,اختيار,choice,
ختيار,i5tiar,اختيار,choice,
موقف,maw9if,موقف,position,
موقف,mou9if,موقف,position,
موقف,mo9if,موقف,position,
موقف,mawqif,موقف,position,
موقف,mouqif,موقف,position,
موقف,moqif,موقف,position,
صداقة,sadaa9a,صداقة,friendship,
صداقة,sadaa9a,صداقة,friendship,
صداقة,sadaaqa,صداقة,friendship,
صداقة,sadaaqa,صداقة,friendship,
صدقة,sada9a,صدقة,charity,
صدقة,sadaqa,صدقة,charity,
مصيبة,mosiba,مصيبة,tragedy,
مصيبة,mosyba,مصيبة,tragedy,
مصيبة,mossiba,مصيبة,tragedy,
مصيبة,mossyba,مصيبة,tragedy,
كارثة,karita,كارثة,disaster,
كارثة,kaarita,كارثة,disaster,
مهمة,mo8imma,مهمة,mission,
مهمة,mo8ima,مهمة,mission,
مهمة,mohimma,مهمة,mission,
مهمة,mohima,مهمة,mission,
خائن,kha2in,خائن,traitor,
خائن,5a2in,خائن,traitor,
خائن,khaa2in,خائن,traitor,
خائن,5aa2in,خائن,traitor,
إرهاب,ir8ab,إرهاب,terrorism,
إرهاب,ir8aab,إرهاب,terrorism,
إرهاب,irhab,إرهاب,terrorism,
إرهاب,irhaab,إرهاب,terrorism,
ضرورة,daroura,ضرورة,necessity,
ضرورة,darora,ضرورة,necessity,
موهبة,maw8iba,موهبة,talent,
موهبة,mo8iba,موهبة,talent,
موهبة,mow8iba,موهبة,talent,
موهبة,mawhiba,موهبة,talent,
موهبة,mohiba,موهبة,talent,
موهبة,mowhiba,موهبة,talent,
عقوبة,3o9oba,عقوبة,sanction,
عقوبة,3o9ouba,عقوبة,sanction,
عقوبة,3oqoba,عقوبة,sanction,
عقوبة,3oqouba,عقوبة,sanction,
رهينة,ra8ina,رهينة,hostage,
رهينة,rahina,رهينة,hostage,
إمكانية,imkania,إمكانية,possibility,
إمكانية,imkaania,إمكانية,possibility,
احتمال,7timal,احتمال,probability,
احتمال,i7timal,احتمال,probability,
احتمال,htimal,احتمال,probability,
احتمال,ihtimal,احتمال,probability,
مرحلة,mr7ala,مرحلة,phase,
مرحلة,mer7ala,مرحلة,phase,
مرحلة,mar7ala,مرحلة,phase,
مرحلة,mrhala,مرحلة,phase,
مرحلة,merhala,مرحلة,phase,
مرحلة,marhala,مرحلة,phase,
عقلية,39lia,عقلية,mentality,
عقلية,39lya,عقلية,mentality,
عقلية,3a9lia,عقلية,mentality,
عقلية,3a9lya,عقلية,mentality,
عقلية,3qlia,عقلية,mentality,
عقلية,3qlya,عقلية,mentality,
عقلية,3aqlia,عقلية,mentality,
عقلية,3aqlya,عقلية,mentality,
خلعة,khl3a,خوف,panic,
خلعة,khal3a,خوف,panic,
خلعة,khel3a,خوف,panic,
خلعة,5l3a,خوف,panic,
خلعة,5al3a,خوف,panic,
خلعة,5el3a,خوف,panic,
مصداقية,misda9ia,مصداقية,credibility,
مصداقية,misdaqia,مصداقية,credibility,
مصداقية,misdaa9ia,مصداقية,credibility,
مصداقية,misdaaqia,مصداقية,credibility,
سمعة,som3a,سمعة,reputation,
سمعة,soum3a,سمعة,reputation,
معنويات,m3nawiat,معنويات,morale,
معنويات,m3nawyat,معنويات,morale,
معنويات,ma3nawiat,معنويات,morale,
معنويات,ma3nawyat,معنويات,morale,
مورال,morale,معنويات,morale,
وعي,wa3y,وعي,awareness,
تشويه,tchwi8,تشويه,distortion,
تشويه,tchwy8,تشويه,distortion,
تشويه,tachwi8,تشويه,distortion,
تشويه,tachwy8,تشويه,distortion,
تشويه,tchwih,تشويه,distortion,
تشويه,tchwyh,تشويه,distortion,
تشويه,tachwih,تشويه,distortion,
تشويه,tachwyh,تشويه,distortion,
مزيّة,mzyya,معروف,benefit,
مزيّة,mzia,معروف,benefit,
مزيّة,mzya,معروف,benefit,
فايدة,fayda,فائدة,benefit,
فايدة,faida,فائدة,benefit,
فايدة,fa2ida,فائدة,benefit,
ربح,rb7,ربح,gain,
ربح,rbe7,ربح,gain,
ربح,rba7,ربح,gain,
ربح,rbh,ربح,gain,
ربح,rbeh,ربح,gain,
ربح,rbah,ربح,gain,
نفع,nf3,نفع,utility,
نفع,nfe3,نفع,utility,
نفع,nfa3,نفع,utility,
كمّية,kimmia,كمّية,quantity,
كمّية,kimmyya,كمّية,quantity,
كمّية,kimmya,كمّية,quantity,
كمّية,kammia,كمّية,quantity,
كمّية,kammyya,كمّية,quantity,
كمّية,kammya,كمّية,quantity,
كمّية,kimia,كمّية,quantity,
كمّية,kimyya,كمّية,quantity,
كمّية,kimya,كمّية,quantity,
كمّية,kamia,كمّية,quantity,
كمّية,kamyya,كمّية,quantity,
كمّية,kamya,كمّية,quantity,
فخ,fkh,فخ,trap,
فخ,f55,فخ,trap,
فخ,fa55,فخ,trap,
فخ,f5,فخ,trap,
فخ,fa5,فخ,trap,
تنسيق,tnsi9,تنسيق,coordination,
تنسيق,tansi9,تنسيق,coordination,
تنسيق,tensi9,تنسيق,coordination,
تنسيق,tnsy9,تنسيق,coordination,
تنسيق,tansy9,تنسيق,coordination,
تنسيق,tensy9,تنسيق,coordination,
تنسيق,tnsiq,تنسيق,coordination,
تنسيق,tansiq,تنسيق,coordination,
تنسيق,tensiq,تنسيق,coordination,
تنسيق,tnsyq,تنسيق,coordination,
تنسيق,tansyq,تنسيق,coordination,
تنسيق,tensyq,تنسيق,coordination,
نشاط,nachaat,نشاط,activity,
نشاط,nachat,نشاط,activity,
ضحية,da7yya,ضحية,victim,
ضحية,da7ya,ضحية,victim,
ضحية,dahyya,ضحية,victim,
ضحية,dahya,ضحية,victim,
ضحية,dha7yya,ضحية,victim,
ضحية,dha7ya,ضحية,victim,
ضحية,dhahyya,ضحية,victim,
ضحية,dhahya,ضحية,victim,
متّهم,motta8am,متّهم,accused,
متّهم,mota8am,متّهم,accused,
متّهم,mottaham,متّهم,accused,
متّهم,motaham,متّهم,accused,
عتقال,3ti9al,اعتقال,arrest,
عتقال,3tiqal,اعتقال,arrest,
عتقال,i3ti9al,اعتقال,arrest,
عتقال,i3tiqal,اعتقال,arrest,
عتراف,3tiraf,اعتراف,confession,
عتراف,i3tiraf,اعتراف,confession,
عتراف,3tiraaf,اعتراف,confession,
محاكمة,mo7akama,محاكمة,trial,
محاكمة,mo7aakama,محاكمة,trial,
محاكمة,mohaakama,محاكمة,trial,
محاكمة,mohakama,محاكمة,trial,
شاهد,cha8id,شاهد,witness,
شاهد,chaa8id,شاهد,witness,
شاهد,chahid,شاهد,witness,
شاهد,cha8ed,شاهد,witness,
شاهد,chahed,شاهد,witness,
دليل,dalil,دليل,proof,
دليل,dalyl,دليل,proof,
مذنب,modnib,مذنب,guilty,
مذنب,modhnib,مذنب,guilty,
بريء,bari2,بريء,innocent,
بريء,bary2,بريء,innocent,
شفرة,chfra,سرقة,theft,
شفرة,chefra,سرقة,theft,
شفرة,chafra,سرقة,theft,
ڭريساج,grisaj,اعتداء,aggression,
ڭريساج,grissaj,اعتداء,aggression,
سرقة,sr9a,سرقة,robbery,
سرقة,srqa,سرقة,robbery,
سرقة,ser9a,سرقة,robbery,
سرقة,serqa,سرقة,robbery,
سرقة,sarqa,سرقة,robbery,
سرقة,sar9a,سرقة,robbery,
لادروگ,ladrog,مخدرات,drug,
غتصاب,ghtisab,اغتصاب,rape,
غتصاب,ightisab,اغتصاب,rape,
غتصاب,ightissab,اغتصاب,rape,
غتصاب,ghtissab,اغتصاب,rape,
قتيلة,9tila,قتيلة,murder,
قتيلة,qtila,قتيلة,murder,
رشوة,rchwa,رشوة,bribery,
رشوة,rechwa,رشوة,bribery,
رشوة,rachwa,رشوة,bribery,
حتيال,7tyal,احتيال,fraud,
حتيال,7tial,احتيال,fraud,
حتيال,i7tial,احتيال,fraud,
حتيال,htyal,احتيال,fraud,
حتيال,htial,احتيال,fraud,
حتيال,ihtial,احتيال,fraud,
حكم,7okm,حكم,sentence,
حكم,7oukm,حكم,sentence,
حكم,houkm,حكم,sentence,
حكم,hokm,حكم,sentence,
إعدام,i3dam,إعدام,death penalty,
شنق,chn9,شنق,hanging,
شنق,chen9,شنق,hanging,
شنق,chan9,شنق,hanging,
شنق,chnq,شنق,hanging,
شنق,chenq,شنق,hanging,
شنق,chanq,شنق,hanging,
سنسلة,snsla,سلسلة,chain,
سنسلة,sansla,سلسلة,chain,
سنسلة,sensla,سلسلة,chain,
سنسلة,selsla,سلسلة,chain,
حكومة,7okoma,حكومة,government,
حكومة,hokoma,حكومة,government,
حكومة,7okouma,حكومة,government,
حكومة,hokouma,حكومة,government,
سياسة,syasa,سياسة,politics,
سياسة,syassa,سياسة,politics,
سياسة,siasa,سياسة,politics,
سياسة,siassa,سياسة,politics,
حزب,7izb,حزب,party,
حزب,hizb,حزب,party,
حرّاڭ,7rrag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7errag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7arrag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7rag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7erag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7arag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,hrrag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,herrag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,harrag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,hrag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,herag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,harag,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7rrak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7errak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7arrak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7rak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7erak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,7arak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,hrrak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,herrak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,harrak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,hrak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,herak,مهاجر غير شرعي,illegal immigrant,
حرّاڭ,harak,مهاجر غير شرعي,illegal immigrant,
مهاجر,mo8ajir,مهاجر,immigrant,
مهاجر,mohajir,مهاجر,immigrant,
ستعمار,sti3mar,استعمار,colonization,
ستعمار,isti3mar,استعمار,colonization,
عمدة,3omda,عمدة,mayor,
عمدة,3oumda,عمدة,mayor,
أمير,amir,أمير,prince,
أمير,amyr,أمير,prince,
وفد,wfd,وفد,delegation,
وفد,wefd,وفد,delegation,
وفد,wafd,وفد,delegation,
جمعية,jm3ia,جمعية,association,
جمعية,jm3ya,جمعية,association,
جمعية,jam3ia,جمعية,association,
جمعية,jam3ya,جمعية,association,
وزارة,wizara,وزارة,ministry,
شعار,chi3ar,شعار,slogan,
شعار,chi3aar,شعار,slogan,
رأي,ray,رأي,opinion,
نص,nss,نصف,half,
نص,ness,نصف,half,
نص,nass,نصف,half,
نص,noss,نصف,half,
نص,ns,نصف,half,
نص,nes,نصف,half,
نص,nas,نصف,half,
نص,nos,نصف,half,
فساد,fasad,فساد,corruption,
فساد,fassad,فساد,corruption,
فساد,fasaad,فساد,corruption,
أمن,amn,أمن,security,
أمن,aman,أمن,security,
أمن,2amn,أمن,security,
سلامة,salama,سلامة,safety,
سلامة,salaama,سلامة,safety,
حماية,7imaya,حماية,protection,
حماية,himaya,حماية,protection,
مساواة,mosawat,مساواة,equality,
مساواة,mosaawaat,مساواة,equality,
مساواة,mosaawat,مساواة,equality,
مساواة,mossawat,مساواة,equality,
مساواة,mossaawaat,مساواة,equality,
مساواة,mossaawat,مساواة,equality,
ستقلال,sti9lal,استقلال,independence,
ستقلال,isti9lal,استقلال,independence,
سيادة,syada,سيادة,sovereignty,
سيادة,siada,سيادة,sovereignty,
عدالة,3adaala,عدالة,justice,
عدالة,3adala,عدالة,justice,
تسامح,tasamo7,تسامح,tolerance,
تسامح,tasaamo7,تسامح,tolerance,
تسامح,tasamoh,تسامح,tolerance,
تسامح,tasaamoh,تسامح,tolerance,
تعايش,ta3ayouch,تعايش,coexistence,
تعايش,ta3ayoch,تعايش,coexistence,
حرية,7orria,حرية,freedom,
حرية,7orrya,حرية,freedom,
حرية,7oria,حرية,freedom,
حرية,7orya,حرية,freedom,
حرية,horria,حرية,freedom,
حرية,horrya,حرية,freedom,
حرية,horia,حرية,freedom,
حرية,horya,حرية,freedom,
كرامة,karama,كرامة,dignity,
كرامة,karaama,كرامة,dignity,
ضمير,damir,ضمير,conscience,
ضمير,damyr,ضمير,conscience,
ضمير,dhamir,ضمير,conscience,
ضمير,dhamyr,ضمير,conscience,
مبدأ,mbde2,مبدأ,principle,
مبدأ,mabda2,مبدأ,principle,
مبدأ,mebde2,مبدأ,principle,
أخلاق,akhla9,أخلاق,morals,
أخلاق,a5la9,أخلاق,morals,
معيار,mi3yar,معيار,standard,
معيار,mi3iar,معيار,standard,
معيور,m3your,إهانة,insult,
معيور,m3yor,إهانة,insult,
معيور,me3your,إهانة,insult,
سبان,sban,إهانة,insult,
سبان,saban,إهانة,insult,
سبان,seban,إهانة,insult,
ضلم,dolm,ظلم,oppression,
قمع,9m3,قمع,repression,
قمع,9em3,قمع,repression,
قمع,9am3,قمع,repression,
تمييز,tmyiz,تمييز,discrimination,
تمييز,tamyiz,تمييز,discrimination,
تمييز,temyiz,تمييز,discrimination,
عنصرية,3onsoria,عنصرية,racism,
تعديب,t3dib,تعذيب,torture,
تعديب,t3dyb,تعديب,torture,
تعديب,ta3dyb,تعديب,torture,
تعديب,ta3dib,تعديب,torture,
مجزرة,mjzara,مجزرة,massacre,
مجزرة,mejzara,مجزرة,massacre,
مجزرة,majzara,مجزرة,massacre,
مدبحة,mdba7a,مجزرة,massacre,
مدبحة,medba7a,مجزرة,massacre,
مدبحة,madba7a,مجزرة,massacre,
مدبحة,mdhba7a,مجزرة,massacre,
مدبحة,medhba7a,مجزرة,massacre,
مدبحة,madhba7a,مجزرة,massacre,
مدبحة,mdbaha,مجزرة,massacre,
مدبحة,medbaha,مجزرة,massacre,
مدبحة,madbaha,مجزرة,massacre,
مدبحة,mdhbaha,مجزرة,massacre,
مدبحة,medhbaha,مجزرة,massacre,
مدبحة,madhbaha,مجزرة,massacre,
إبادة,ibada,إبادة,genocide,
إبادة,ibaada,إبادة,genocide,
دعارة,da3ara,دعارة,prostitution,
دعارة,da3aara,دعارة,prostitution,
نڭّان,nggan,تحرش,harassment,
نڭّان,neggan,تحرش,harassment,
نڭّان,noggan,تحرش,harassment,
عبودية,3oboudia,عبودية,slavery,
عبودية,3obodia,عبودية,slavery,
نقيلاب,n9ilab,انقلاب,coup,
نقيلاب,in9ilab,انقلاب,coup,
صراع,sira3,صراع,conflict,
صراع,sera3,صراع,conflict,
صراع,siraa3,صراع,conflict,
مقاومة,mo9awama,مقاومة,resistance,
مقاومة,mo9aawama,مقاومة,resistance,
مقاومة,moqaawama,مقاومة,resistance,
مقاومة,moqawama,مقاومة,resistance,
حتلال,7tilal,احتلال,occupation,
حتلال,i7tilal,احتلال,occupation,
حتلال,7tilaal,حتلال,occupation,
حتلال,htilal,احتلال,occupation,
حتلال,ihtilal,احتلال,occupation,
حتلال,htilaal,احتلال,occupation,
سلاح,sla7,سلاح,weapon,
سلاح,sle7,سلاح,weapon,
سلاح,slah,سلاح,weapon,
سلاح,sleh,سلاح,weapon,
سيف,sif,سيف,sword,
سيف,syf,سيف,sword,
سيف,sayf,سيف,sword,
هراوة,8rawa,عصا,baton,
هراوة,hrawa,عصا,baton,
عصا,3sa,عصا,baton,
نووي,nawawi,نووي,nuclear,
نووي,nnawawi,نووي,nuclear,
قنبولة,9nbola,قنبلة,bomb,
قنبولة,9nboula,قنبلة,bomb,
قنبولة,9anbola,قنبلة,bomb,
تفرڭيع,tfrgi3,انفجار,explosion,
تفرڭيع,tfergui3,انفجار,explosion,
تفرڭيع,tfargi3a,انفجار,explosion,
نتحار,nti7ar,انتحار,suicide,
نتحار,inti7ar,انتحار,suicide,
شهيد,ch8id,شهيد,martyr,
شهيد,ch8yd,شهيد,martyr,
شهيد,chahid,شهيد,martyr,
شهيد,cha8id,شهيد,martyr,
قبر,9br,قبر,grave,
قبر,9ber,قبر,grave,
قبر,9bar,قبر,grave,
قبر,qbr,قبر,grave,
قبر,qber,قبر,grave,
قبر,qbar,قبر,grave,
دبّابة,dbbaba,دبّابة,tank,
دبّابة,debbaba,دبّابة,tank,
دبّابة,dabbaba,دبّابة,tank,
دبّابة,dababa,دبّابة,tank,
دبّابة,dbaba,دبّابة,tank,
دبّابة,debaba,دبّابة,tank,
خسارة,khasara,خسارة,loss,
خسارة,5asara,خسارة,loss,
خسارة,5sara,خسارة,loss,
خسارة,khsara,خسارة,loss,
خسارة,khasaara,خسارة,loss,
خسارة,5asaara,خسارة,loss,
ستستلام,stistlam,استستلام,surrender,
ستستلام,istislam,استستلام,surrender,
ستستلام,stislaam,استستلام,surrender,
حل,7ll,حل,solution,
حل,7ell,حل,solution,
حل,7all,حل,solution,
حل,7l,حل,solution,
حل,7el,حل,solution,
حل,7al,حل,solution,
حل,hll,حل,solution,
حل,hell,حل,solution,
حل,hall,حل,solution,
حل,hl,حل,solution,
حل,hel,حل,solution,
حل,hal,حل,solution,
وقت,we9t,وقت,time,
وقت,wa9t,وقت,time,
وقت,w9t,وقت,time,
وقت,weqt,وقت,time,
وقت,waqt,وقت,time,
وقت,wqt,وقت,time,
خدمة,khdma,عمل,work,
خدمة,khedma,عمل,work,
خدمة,khadma,عمل,work,
خدمة,5dma,عمل,work,
خدمة,5edma,عمل,work,
خدمة,5adma,عمل,work,
عالم,3alam,عالم,world,
طرف,terf,طرف,part,
طرف,trf,طرف,part,
طرف,tarf,طرف,part,
درس,ders,درس,course,
درس,dars,درس,course,
درس,drs,درس,course,
سيستم,system,نظام,system,
سيستام,system,نظام,system,
بلاصة,blasa,بلاصة,place,
بلاصة,blassa,بلاصة,place,
مجموعة,mjmo3a,مجموعة,group,
مجموعة,majmo3a,مجموعة,group,
معلومة,m3loma,معلومة,information,
معلومة,ma3loma,معلومة,information,
حقيقة,7a9i9a,حقيقة,fact,
حقيقة,ha9i9a,حقيقة,fact,
حقيقة,7aqiqa,حقيقة,fact,
حقيقة,haqiqa,حقيقة,fact,
فلوس,flouss,نقود,money,
فلوس,flos,نقود,money,
فلوس,flous,نقود,money,
دراهم,drahem,نقود,money,
دراهم,drahm,نقود,money,
دراهم,dra8em,نقود,money,
دراهم,dra8m,نقود,money,
نقطة,n9ta,نقطة,point,
نقطة,no9ta,نقطة,point,
نقطة,nqta,نقطة,point,
نقطة,noqta,نقطة,point,
خدمة,khdma,عمل,business,
خدمة,khedma,عمل,business,
خدمة,khadma,عمل,business,
خدمة,5dma,عمل,business,
خدمة,5edma,عمل,business,
خدمة,5adma,عمل,business,
غرض,gharad,غرض,business,
ليل,lil,ليل,night,
جهة,jiha,جهة,area,
جهة,ji8a,جهة,area,
مساحة,misa7a,مساحة,area,
مساحة,misaha,مساحة,area,
حاجة,7aja,شيء,thing,
حاجة,haja,شيء,thing,
عائلة,3a2ila,عائلة,family,
عايلة,3ayla,عائلة,family,
عائلة,ayla,عائلة,family,
راس,rass,رأس,head,
راس,ras,رأس,head,
يد,yed,يد,hand,
يد,yad,يد,hand,
يد,yd,يد,hand,
يد,id,يد,hand,
ترتيب,tertib,ترتيب,order,
ترتيب,tartib,ترتيب,order,
ترتيب,trtib,ترتيب,order,
نضام,nidam,نظام,order,
نضام,nidham,نظام,order,
جهة,jiha,جهة,side,
جهة,ji8a,جهة,side,
دار,dar,منزل,home,
تطور,tatawwor,تطور,development,
تطور,tatawor,تطور,development,
تنمية,tanmia,تنمية,development,
سيمانة,simana,أسبوع,week,
دولة,dawla,دولة,country,
دولة,dowla,دولة,country,
مجلس,majlis,مجلس,council,
مجلس,majliss,مجلس,council,
ستعمال,sti3mal,استعمال,use,
خدمة,khidma,خدمة,service,
خدمة,5idma,خدمة,service,
سربيس,serbiss,خدمة,service,
سربيس,serbis,خدمة,service,
محكمة,me7kama,محكمة,court,
محكمة,m7kama,محكمة,court,
محكمة,ma7kama,محكمة,court,
محكمة,mehkama,محكمة,court,
محكمة,mhkama,محكمة,court,
محكمة,mahkama,محكمة,court,
جماعة,jma3a,جماعة,lot,
بزاف,bzf,كثير,lot,
بوليس,boliss,شرطي,police,
بوليس,bolis,شرطي,police,
فورمولير,formulaire,نموذج,form,
فورميلر,formulaire,نموذج,form,
وجه,wjh,وجه,face,
وجه,wjeh,وجه,face,
وجه,wjah,وجه,face,
وجه,wj8,وجه,face,
وجه,wje8,وجه,face,
وجه,wja8,وجه,face,
تربية,terbia,تربية,education,
تربية,tarbia,تربية,education,
تربية,trbia,تربية,education,
سياسة,siyassa,سياسة,policy,
سياسة,siyasa,سياسة,policy,
سياسة,siassa,سياسة,policy,
سياسة,siasa,سياسة,policy,
بحت,ba7t,بحث,research,
بحت,be7t,بحث,research,
بحت,b7t,بحث,research,
بحث,ba7th,بحث,research,
بحث,be7th,بحث,research,
بحث,b7th,بحث,research,
ترتيب,tartib,ترتيب,sort,
ترتيب,trtib,ترتيب,sort,
ترتيب,tertib,ترتيب,sort,
مكتب,mektab,مكتب,office,
مكتب,makteb,مكتب,office,
مكتب,mekteb,مكتب,office,
مكتب,mktb,مكتب,office,
جسم,jism,جسم,body,
شخص,chakhs,شخص,person,
شخص,cha5s,شخص,person,
صحة,se77a,صحة,health,
صحة,si77a,صحة,health,
صحة,se7a,صحة,health,
صحة,si7a,صحة,health,
صحة,sehha,صحة,health,
صحة,sihha,صحة,health,
صحة,seha,صحة,health,
صحة,siha,صحة,health,
أم,oum,أم,mother,
أم,om,أم,mother,
والدة,walida,والدة,mother,
سؤال,so2al,سؤال,question,
سؤال,ce2al,سؤال,question,
مرحلة,mer7ala,مرحلة,period,
مرحلة,mar7ala,مرحلة,period,
مرحلة,merhala,مرحلة,period,
مرحلة,marhala,مرحلة,period,
كتاب,ktab,كتاب,book,
مستوى,mostawa,مستوى,level,
درّي صغير,derri sghir,طفل,child,
درّي صغير,darri sghir,طفل,child,
