Darija_Arabe,Arabizi,Arabe_Standard,Anglais
ديموقراطي,dimo9rati,ديموقراطي,democratic
ديموقراطي,dimou9raati,ديموقراطي,democratic
ديموقراطي,dimoqrati,ديموقراطي,democratic
ديموقراطي,dimouqraati,ديموقراطي,democratic
شرقي,chr9i,شرقي,eastern
شرقي,cher9i,شرقي,eastern
شرقي,char9i,شرقي,eastern
هاديء,8adi2,هاديء,quiet
هاديء,8aadi2,هاديء,quiet
هاديء,hadi2,هاديء,quiet
هاديء,haadi2,هاديء,quiet
تعليمي,t3limi,تعليمي,educational
تعليمي,t3liimi,تعليمي,educational
صحيح,s7i7,صحيح,correct
صحيح,shih,صحيح,correct
علمي,3ilmi,علمي,scientific
أُنتوي,ontawi,أُنثوي,female
عقلي,39li,عقلي,mental
عقلي,3a9li,عقلي,mental
عقلي,3qli,عقلي,mental
خطير,khatir,خطير,dangerous
خطير,5atir,خطير,dangerous
حرج,7arij,حرج,critical
مضوبل,mdobl,مضاعف,double
مضوبل,mdoubl,مضاعف,double
مدوبل,mdobel,مضاعف,double
مدوبل,mdoubel,مضاعف,double
سريع,sri3,سريع,quick
سريع,sari3,سريع,quick
مموحتمالش,mamo7tamalch,غير محتمل,unlikely
مموحتمالش,mamo7tamlch,غير محتمل,unlikely
مموحتمالش,mamohtamalch,غير محتمل,unlikely
تاريخي,tarikhi,تاريخي,historical
تاريخي,taarikhi,تاريخي,historical
تاريخي,tari5i,تاريخي,historical
تاريخي,taari5i,تاريخي,historical
جنوبي,janoubi,جنوبي,southern
جنوبي,janobi,جنوبي,southern
متالي,mitaali,مثالي,perfect
متالي,mitali,مثالي,perfect
متالي,mithali,مثالي,perfect
مصروع,msro3,مثالي,perfect
مصروع,msrou3,مثالي,perfect
مصروع,masro3,مثالي,perfect
مصروع,masrou3,مثالي,perfect
يومي,yawmi,يومي,daily
متحرّر,mota7rrir,متحرّر,liberal
متحرّر,mota7arrir,متحرّر,liberal
متحرّر,mota7arir,متحرّر,liberal
ليبرالي,liberali,ليبرالي,liberal
حضاري,7adari,حضاري,urban
فوڭاني,fogani,أعلى,upper
فوڭاني,fo9ani,أعلى,upper
باين,bayn,باين,apparent
باين,bayen,باين,apparent
خاضع,khad3,خاضع,subject
خاضع,khaad3,خاضع,subject
صغيوّر,sghiwwer,صغير,tiny
صغيوّر,sghiwwr,صغير,tiny
صغيوّر,sghiwer,صغير,tiny
صغيوّر,sghiwr,صغير,tiny
مضوّي,mdwwi,مضيئ,bright
مضوّي,mdowi,مضيئ,bright
أخلاقي,akhla9i,أخلاقي,moral
أخلاقي,akhlaa9i,أخلاقي,moral
أخلاقي,a5la9i,أخلاقي,moral
أخلاقي,a5laa9i,أخلاقي,moral
بديل,badil,بديل,alternative
بديل,badiil,بديل,alternative
جدّاب,jddab,جذاب,attractive
جدّاب,jeddab,جذاب,attractive
رادّ لبال,radd lbal,رادّ لبال,careful
حيوي,7ayawi,حيوي,vital
همجي,8amaji,همجي,wild
خاوي,khawi,خاوي,empty
خاوي,5awi,خاوي,empty
دموي,damawi,دموي,bloody
خارجي,khariji,خارجي,external
خارجي,5ariji,خارجي,external
شارف,charf,مسن,elderly
شارف,charef,مسن,elderly
شارف,charaf,مسن,elderly
نسبي,nisbi,نسبي,relative
قديم,9dim,قديم,ancient
قديم,qdim,قديم,ancient
مختاصر,mkhtasr,مختصر,brief
مختاصر,mkhtaSer,مختصر,brief
مختاصر,mo5tasr,مختصر,brief
مختاصر,mokhtaser,مختصر,brief
ڭادّ,gadd,مقتدر,capable
ڭادّ,9add,مقتدر,capable
نمودجي,namoudaji,نموذجي,typical
متيسّع,mtisse3,واسع,broad
متيسّع,mtiss3,واسع,broad
مضيّق,mdyye9,مضيّق,narrow
كولّو,kollo,كامل,entire
رائع,ra2i3,رائع,wonderful
رائع,raa2i3,رائع,wonderful
تابت,tabt,ثابت,constant
تابت,tabet,ثابت,constant
تابت,tabat,ثابت,constant
متالي,mitali,مثالي,ideal
متالي,mitaali,مثالي,ideal
أكاديمي,akadimi,أكاديمي,academic
قاصر,9aaser,قاصر,minor
قاصر,9aasir,قاصر,minor
ماموهيمّش,mamo8immch,غير مهم,minor
واسع,was3,واسع,vast
واسع,wase3,واسع,vast
نادر,naadir,نادر,rare
نادر,nadir,نادر,rare
حادّ,7aadd,حادّ,severe
حادّ,7ad,حادّ,severe
أساسي,asaasi,أساسي,fundamental
أساسي,asasi,أساسي,fundamental
دايم,daym,دائم,permanent
دايم,dayem,دائم,permanent
رهيب,ra8ib,رهيب,terrible
رهيب,ra8iib,رهيب,terrible
مريض,mrid,مريض,ill
غليض,ghlid,غليض,thick
مصيري,masiri,مصيري,crucial
مصيري,masiiri,مصيري,crucial
داخلي,daakhili,داخلي,inner
داخلي,dakhili,داخلي,inner
داخلي,da5ili,داخلي,inner
تابع,taab3,تابع,subsequent
تابع,tabe3,تابع,subsequent
تابع,tabi3,تابع,subsequent
معاصر,mo3asir,معاصر,contemporary
معاصر,mo3aasir,معاصر,contemporary
كبير,kbir,كبير,grand
سابق,sab9,سابق,prior
سابق,sabe9,سابق,prior
تانوي,taanawi,تانوي,secondary
تانوي,tanawi,تانوي,secondary
فشكل,fchkel,فشكل,odd
فشكل,fchkl,فشكل,odd
فشكل,fchkal,فشكل,odd
هائل,8a2il,هائل,massive
هائل,8aa2il,هائل,massive
هائل,haa2il,هائل,massive
حادّ,7ad,حادّ,sharp
حادّ,7aadd,حادّ,sharp
مريض,mrid,مريض,sick
شيوعي,choyou3i,شيوعي,communist
صافي,Saafi,صافي,net
صافي,safi,صافي,net
مطوّل,mtwwel,مطوّل,long-term
مطوّل,mtawel,مطوّل,long-term
مدنب,modnib,مدنب,guilty
شامل,chaamil,شامل,extensive
شامل,chamil,شامل,extensive
ضخم,Dakhm,ضخم,enormous
ضخم,da5m,ضخم,enormous
حيّ,7yy,حيّ,alive
حيّ,7eyy,حيّ,alive
حيّ,7ayy,حيّ,alive
زراعي,zira3i,زراعي,agricultural
زراعي,ziraa3i,زراعي,agricultural
رئيسي,ra2isi,رئيسي,principal
فعّال,f33al,فعّال,efficient
فعّال,f33aal,فعّال,efficient
مزهار,mz8ar,مزهار,lucky
مزهار,mz8aar,مزهار,lucky
عرفي,3orfi,عرفي,conventional
تطوّعي,tatwwo3i,تطوّعي,voluntary
تطوّعي,taTawwo3i,تطوّعي,voluntary
تطوّعي,tatwo3i,تطوّعي,voluntary
تطوّعي,tatawo3i,تطوّعي,voluntary
دراماتيكي,dramatiki,دراماتيكي,dramatic
مؤقّت,mo299at,مؤقّت,temporary
مؤقّت,mow99at,مؤقّت,temporary
مؤقّت,mo2a9at,مؤقّت,temporary
دهبي,da8abi,ذهبي,golden
حبّي,7ibbi,حبّي,friendly
حبّي,7obbi,حبّي,friendly
معتامد,m3tamd,معتمد,dependent
معتامد,mo3tamed,معتمد,dependent
تنافسي,tanafosi,تنافسي,competitive
تنافسي,tanaafosi,تنافسي,competitive
جدري,jdri,جذري,radical
جدري,jedri,جذري,radical
جدري,jadri,جذري,radical
حسّاس,7ssas,حسّاس,sensitive
حسّاس,7essas,حسّاس,sensitive
حسّاس,7assas,حسّاس,sensitive
خارج,kharj,خارج,outside
خارج,khaarij,خارج,outside
خارج,khaarj,خارج,outside
خارج,5arj,خارج,outside
مسطّح,mstt7,مسطّح,flat
مسطّح,msetta7,مسطّح,flat
مسطّح,msatte7,مسطّح,flat
مسطّح,msatta7,مسطّح,flat
مسطّح,mst7,مسطّح,flat
مسطّح,mseta7,مسطّح,flat
مسطّح,msate7,مسطّح,flat
مسطّح,msata7,مسطّح,flat
عاطفي,3aaifi,عاطفي,emotional
عاطفي,3atifi,عاطفي,emotional
خاطئ,khat2,خاطئ,false
خاطئ,khaate2,خاطئ,false
خاطئ,khati2,خاطئ,false
مناسب,monasib,مناسب,adequate
مناسب,monaasib,مناسب,adequate
صحّي,Si77i,صحّي,healthy
شامل,chaamil,شامل,global
شامل,chamil,شامل,global
سريع,sri3,سريع,rapid
سريع,sari3,سريع,rapid
إداري,idaari,إداري,administrative
إداري,idari,إداري,administrative
سكّوتي,skkouti,صامت,silent
سكّوتي,skkoti,صامت,silent
سكّوتي,sekkouti,صامت,silent
سكّوتي,sakkoti,صامت,silent
لحدّ,l7dd,أقصى,maximum
لحدّ,l7edd,أقصى,maximum
ضعيف,d3if,ضعيف,weak
ملحوض,ml7oud,ملحوظ,remarkable
ملحوض,mal7oud,ملحوظ,remarkable
سرّي,sirri,سرّي,secret
عزيز,3ziz,عزيز,dear
جماعي,jama3i,جماعي,mass
فازڭ,fazg,مبلل,wet
فازڭ,faazg,مبلل,wet
قاسح,9as7,قاسح,solid
قاسح,9ase7,قاسح,solid
متألق,mota2lli9,متألق,brilliant
متألق,mt2elle9,متألق,brilliant
متألق,mt2alla9,متألق,brilliant
متألق,mota2li9,متألق,brilliant
متألق,mt2ele9,متألق,brilliant
متألق,mt2ala9,متألق,brilliant
إلكتروني,electroni,إلكتروني,electronic
إلكتروني,iliktroni,إلكتروني,electronic
إلكتروني,elektroni,إلكتروني,electronic
مطلق,motla9,مطلق,absolute
كايتشاف,kaytchaf,مرئي,visual
تلخشب,tlkhcheb,خشبي,wooden
تلخشب,tlkhchab,خشبي,wooden
صارم,Saarim,صارم,firm
صارم,Sarim,صارم,firm
تضّو,tddo,تضّو,electric
تضّو,tddow,تضّو,electric
كيميائي,kimya2i,كيميائي,chemical
سامي,saami,سامي,supreme
سامي,sami,سامي,supreme
أدبي,adabi,أدبي,literary
خالص,khaalis,خالص,pure
خالص,5alis,خالص,pure
قاسح,9as7,قاسح,rough
قاسح,9aas7,قاسح,rough
قاسح,9ase7,قاسح,rough
قاسح,9aasa7,قاسح,rough
مجرّد,mojrrad,مجرّد,mere
مجرّد,mojarrad,مجرّد,mere
أصيل,assil,أصيل,genuine
أقصى,a9saa,أقصى,extreme
أقصى,a9sa,أقصى,extreme
أقصى,aqsaa,أقصى,extreme
أقصى,aqsa,أقصى,extreme
باهت,ba8t,باهت,pale
باهت,ba8it,باهت,pale
باهت,baht,باهت,pale
منتاشر,mntachr,منتشر,widespread
منتاشر,mentacher,منتشر,widespread
منتاشر,mntacher,منتشر,widespread
كاتوليكي,katoliki,كاثوليكي,catholic
كاتوليكي,catoliki,كاثوليكي,catholic
كلاسيكي,klasiki,كلاسيكي,classical
كلاسيكي,classiki,كلاسيكي,classical
مفضّل,mofddal,مفضّل,favorite
مفضّل,mofaddal,مفضّل,favorite
مفضّل,mofdl,مفضّل,favorite
شتراكي,chtiraki,اشتراكي,socialist
عرّام,3rram,كثير,numerous
عرّام,3orram,كثير,numerous
عرّام,3arram,كثير,numerous
حلو,7lo,حلو,sweet
حلو,7low,حلو,sweet
حلو,7lou,حلو,sweet
مختالف,mkhtalf,مختلف,distinct
مختالف,mkhtalef,مختلف,distinct
مختالف,m5talf,مختلف,distinct
مختالف,m5talef,مختلف,distinct
تايق,tay9,واثق,confident
تايق,tayq,واثق,confident
تايق,taye9,واثق,confident
تايق,tayeq,واثق,confident
ضدّ,Dedd,ضدّ,opposite
ضدّ,Dhid,ضدّ,opposite
مفيد,mofid,مفيد,helpful
مفيد,moufid,مفيد,helpful
صعيب,s3ib,صعب,tough
متناسق,mtnas9,متناسق,consistent
متناسق,mtnase9,متناسق,consistent
سريع,sri3,سريع,fast
سريع,sari3,سريع,fast
مستاقرّ,msta9err,مستاقرّ,stable
مستاقرّ,msta9arr,مستاقرّ,stable
ڭود,goud,مستقيم,straight
كايخلع,kaykhle3,مريع,awful
كايخلع,kaye5l3,مريع,awful
ستراتيجي,stratiji,استراتيجي,strategic
ممتاز,momtaz,ممتاز,outstanding
كلينيكي,kliniki,كلينيكي,clinical
أقلّ حاجة,a9all haja,أقلّ حاجة,minimum
أقلّ حاجة,a9all 7aja,أقلّ حاجة,minimum
واعي,wa3i,واعي,conscious
واعي,waa3i,واعي,conscious
مسيطر,msyter,مسيطر,dominant
مسيطر,msiter,مسيطر,dominant
بارد,bard,بارد,cool
بارد,bared,بارد,cool
دستوري,dostouri,دستوري,constitutional
دستوري,dostori,دستوري,constitutional
غضبان,ghdban,غضبان,mad
غضبان,ghedban,غضبان,mad
غضبان,ghadban,غضبان,mad
نضري,nadari,نظري,theoretical
مهموم,m8moum,مهموم,anxious
مهموم,mhmoum,مهموم,anxious
مهموم,m8mom,مهموم,anxious
مهموم,ma8moum,مهموم,anxious
مهموم,mahmoum,مهموم,anxious
مهموم,ma8mom,مهموم,anxious
مهموم,mhmoum,مهموم,anxious
مهموم,mhmom,مهموم,anxious
مقدّس,mo9ddas,مقدّس,holy
مقدّس,mo9addas,مقدّس,holy
سكني,sakani,سكني,residential
مناسب,monasib,مناسب,fit
مناسب,monaasib,مناسب,fit
حيّ,7eyy,حيّ,live
حيّ,7ayy,حيّ,live
لاسق,las9,لاسق,accurate
لاسق,lase9,لاسق,accurate
لاسق,laseq,لاسق,accurate
موسيقي,mousi9i,موسيقي,musical
موسيقي,mosi9i,موسيقي,musical
فوق العادة,fo9 l3ada,فوق العادة,extraordinary
فوق العادة,faw9 l3ada,فوق العادة,extraordinary
فوق العادة,fo9 l3aada,فوق العادة,extraordinary
خارق للعادة,khari9 lil3ada,خارق للعادة,extraordinary
خارق للعادة,khar9 ll3ada,خارق للعادة,extraordinary
خارق للعادة,khare9 ll3ada,خارق للعادة,extraordinary
خارق للعادة,5ari9 ll3ada,خارق للعادة,extraordinary
خارق للعادة,5ar9 ll3ada,خارق للعادة,extraordinary
خارق للعادة,5are9 ll3ada,خارق للعادة,extraordinary
نزيه,nazih,نزيه,honest
نزيه,nazi8,نزيه,honest
دقيق,d9i9,دقيق,precise
باين,bayn,باين,visible
باين,bayen,باين,visible
قليل,9lil,قليل,slight
ديال لفلوس,dyal lflous,نقدي,monetary
عن بعد,3an bo3d,عن بعد,remote
صريح,Sari7,صريح,plain
صريح,Sarii7,صريح,plain
بعيد,b3id,بعيد,distant
شومور,chomour,عاطل عن العمل,unemployed
شومور,chomor,عاطل عن العمل,unemployed
مشومر,mchomer,عاطل عن العمل,unemployed
مشومر,mchomr,عاطل عن العمل,unemployed
واڭف,wagf,واقف,still
واڭف,wagef,واقف,still
ضريف,drief,ظريف,gentle
ضريف,driyef,ظريف,gentle
نفسي,nefsi,نفسي,psychological
نفسي,nfsi,نفسي,psychological
الصغير,ssghir,الصغير,junior
الصغير,sghir,الصغير,junior
ملس,mles,أملس,smooth
عنيف,3anif,عنيف,violent
عنيف,3aniif,عنيف,violent
هيكلي,haykali,هيكلي,structural
هيكلي,8aykali,هيكلي,structural
مدوّر,mdwwer,مدوّر,round
مدوّر,mdowwer,مدوّر,round
مدوّر,mdowwar,مدوّر,round
مدوّر,mdwer,مدوّر,round
مدوّر,mdower,مدوّر,round
مدوّر,mdowar,مدوّر,round
حسّاس,7ssas,حسّاس,sensible
حسّاس,7assas,حسّاس,sensible
ملقّب,mol99ab,ملقّب,so-called
ملقّب,mola9ab,ملقّب,so-called
ملقّب,mola9eb,ملقّب,so-called
متّاصل,mttasel,متّصل,continuous
متّاصل,mettasel,متّصل,continuous
قريب,9rib,قريب,near
قريب,qrib,قريب,near
ممتنّ,momtann,ممتنّ,grateful
ممتنّ,momtan,ممتنّ,grateful
زوين,zwin,انيق,pretty
واضح,wad7,واضح,evident
موسمي,mawsimi,موسمي,occasional
ممتع,momti3,ممتع,pleasant
كوني,kawni,كوني,universal
زميل,zamil,زميل,fellow
كلاسيكي,klasiki,كلاسيكي,classic
موسّخ,mossekh,قذر,dirty
موسّخ,mmossekh,قذر,dirty
موسّخ,mosse5,قذر,dirty
موسّخ,mose5,قذر,dirty
كايكافء,kaykaafe2,يكافئ,equivalent
كايكافء,kaykafe2,يكافئ,equivalent
مرخي,mrkhi,مرخي,loose
مرخي,merkhi,مرخي,loose
مرخي,markhi,مرخي,loose
مرخي,mr5i,مرخي,loose
مرخي,mer5i,مرخي,loose
مرخي,mar5i,مرخي,loose
مبدع,mobdi3,مبدع,creative
نهائي,ni8aa2i,نهائي,ultimate
نهائي,ni8a2i,نهائي,ultimate
نهائي,niha2i,نهائي,ultimate
لغوي,loghawi,لغوي,linguistic
تابت,taabt,ثابت,steady
تابت,tabt,ثابت,steady
تابت,taabet,ثابت,steady
تابت,tabet,ثابت,steady
فكري,fikri,فكري,intellectual
فاقد لأمل,fa9d l2amal,فاقد للأمل,desperate
فاقد لأمل,fa9ed l2amal,فاقد للأمل,desperate
فاقد لأمل,fa9id lamal,فاقد للأمل,desperate
قضائي,9ada2i,قضائي,judicial
توري,tawri,ثوري,revolutionary
إمبراطوري,imbratouri,إمبراطوري,imperial
غير قانوني,ghayr 9anoni,غير قانوني,illegal
غير قانوني,ghayr 9aanouni,غير قانوني,illegal
غير قانوني,ghayr 9aanoni,غير قانوني,illegal
خام,khaam,خام,raw
خام,5am,خام,raw
خارجي,khaariji,خارجي,outer
خارجي,khariji,خارجي,outer
غير رسمي,ghayr rsmi,غير رسمي,informal
غير رسمي,ghayr rasmi,غير رسمي,informal
مرّ,morr,مرّ,bitter
مرّ,marr,مرّ,bitter
تجريبي,tjribi,تجريبي,experimental
جماعي,jama3i,جماعي,collective
كايتعاود,kayt3awd,متكرر,frequent
روحي,rou7i,روحي,spiritual
مشارجي,mcharji,مشارجي,intense
تاريخي,taarikhi,تاريخي,historic
تاريخي,tarikhi,تاريخي,historic
معقول,m39oul,معقول,rational
معقول,m39ol,معقول,rational
مامناسبش,mamnasbch,مامناسبش,inadequate
مامناسبش,mamnasebch,مامناسبش,inadequate
حادّ,7add,حادّ,acute
منطقي,mnti9i,منطقي,logical
منطقي,manti9i,منطقي,logical
مقبول,m9bol,مقبول,valid
مقبول,ma9bol,مقبول,valid
أُسبوعي,osbou3i,أُسبوعي,weekly
عشوائي,3chwa2i,عشوائي,random
عشوائي,3achwa2i,عشوائي,random
متواضع,mtwad3,متواضع,modest
متواضع,mtwade3,متواضع,modest
مزيّر,mzyyer,مزيّر,tight
مزيّر,mzayyar,مزيّر,tight
مزيّر,mzeyyer,مزيّر,tight
أتوماتيك,automatic,أتوماتيك,automatic
ناعس,na3s,نائم,asleep
ناعس,na3es,نائم,asleep
دكي,dki,ذكي,clever
دكي,dky,ذكي,clever
مسؤول,ms2oul,مسؤول,liable
مسؤول,mas2oul,مسؤول,liable
مسؤول,mes2oul,مسؤول,liable
متبادل,motabaadal,متبادل,mutual
متبادل,motabadal,متبادل,mutual
مضاعف,moda3af,مضاعف,multiple
ثقة,ti9a,ثقة,reliable
النواحي,nnawa7i,النواحي,nearby
هامشي,8aamichi,هامشي,marginal
هامشي,8amichi,هامشي,marginal
مطابق,mtab9,مطابق,identical
مطابق,mtabe9,مطابق,identical
مطابق,motabe9,مطابق,identical
بضّبط,bddbt,بضّبط,exact
بضّبط,bddebt,بضّبط,exact
بضّبط,bddabt,بضّبط,exact
نتخابي,ntikhabi,انتخابي,electoral
نتخابي,nti5abi,انتخابي,electoral
مميّز,momyyiz,مميّز,distinctive
مميّز,momayez,مميّز,distinctive
شفوي,chafawi,شفوي,oral
عريان,3ryan,عريان,bare
عريان,3aryan,عريان,bare
رئاسي,ri2aasi,رئاسي,presidential
رئاسي,ri2asi,رئاسي,presidential
عضوي,3odwi,عضوي,organic
بلحساب,bl7sab,إحصائي,statistical
بلحساب,bel7sab,إحصائي,statistical
بلحساب,belhsab,إحصائي,statistical
عاجل,3ajil,عاجل,urgent
عاجل,3aajil,عاجل,urgent
مرغوب,mrghoub,مرغوب,desirable
مرغوب,merghoub,مرغوب,desirable
مرغوب,marghoub,مرغوب,desirable
حصري,7sri,حصري,exclusive
حصري,7esri,حصري,exclusive
حصري,7asri,حصري,exclusive
يومي,yawmi,يومي,everyday
رائع,ra2i3,رائع,superb
صارم,saarim,صارم,strict
مامتوقّعش,mamtwe99e3ch,غير متوقع,unexpected
مامتوقّعش,mamto99e3ch,غير متوقع,unexpected
مامتوقّعش,mamtwe9e3ch,غير متوقع,unexpected
مامتوقّعش,mamto9e3ch,غير متوقع,unexpected
بريء,barii2,بريء,innocent
بريء,bari2,بريء,innocent
بحري,b7ri,بحري,marine
بحري,be7ri,بحري,marine
بحري,ba7ri,بحري,marine
رومانسي,romansi,رومانسي,romantic
مصطانع,mstane3,مصطنع,artificial
مصطانع,mostane3,مصطنع,artificial
مؤسساتي,mo2ssasati,مؤسساتي,institutional
مؤسساتي,mo2assasati,مؤسساتي,institutional
مؤسساتي,mo2sasati,مؤسساتي,institutional
رائع,ra2i3,رائع,magnificent
بيولوجي,bioloji,بيولوجي,biological
بيولوجي,biologi,بيولوجي,biological
ديپلوماسي,diplomasi,ديبلوماسي,diplomatic
ديپلوماسي,diblomasi,ديبلوماسي,diplomatic
مناسب,monaasib,مناسب,convenient
مناسب,monasib,مناسب,convenient
هائل,8a2il,هائل,tremendous
هائل,8aa2il,هائل,tremendous
رأسمالي,ra2smali,رأسمالي,capitalist
رأسمالي,ra2smaali,رأسمالي,capitalist
خدّام,khddam,خدّام,functional
خدّام,kheddam,خدّام,functional
خدّام,5dam,خدّام,functional
خدّام,5adam,خدّام,functional
ميكانيكي,mikaniki,ميكانيكي,mechanical
مباشر,mobaachir,مباشر,straightforward
ماميقّنش,mami99ench,غير مؤكد,uncertain
ماميقّنش,mamty99ench,غير مؤكد,uncertain
رقمي,r9mi,رقمي,digital
رقمي,ra9mi,رقمي,digital
رقمي,re9mi,رقمي,digital
مدهل,mod8il,مدهل,spectacular
عدواني,3odwani,عدواني,aggressive
عريان,3ryan,عريان,naked
عريان,3aryan,عريان,naked
عريان,3eryan,عريان,naked
ماشي عادل,machi 3aadil,غير عادل,unfair
ماشي عادل,machi 3adil,غير عادل,unfair
متفوّق,mtfowwe9,متفوّق,superior
متفوّق,metfowwe9,متفوّق,superior
متفوّق,matfowe9,متفوّق,superior
كولّا شهر,kolla ch8er,كل شهر,monthly
تشريعي,tchri3i,تشريعي,legislative
تشريعي,tachri3i,تشريعي,legislative
إضافي,idafi,إضافي,spare
صريح,Sarii7,صريح,explicit
صريح,Sari7,صريح,explicit
مؤلم,mo2lim,مؤلم,painful
متابع,mtab3,متابع,successive
متابع,motabe3,متابع,successive
متابع,mtabe3,متابع,successive
مقلّق,m9lle9,مقلّق,unhappy
مقلّق,m9alla9,مقلّق,unhappy
مقلّق,m9ll9,مقلّق,unhappy
مقلّق,m9le9,مقلّق,unhappy
مقلّق,m9ala9,مقلّق,unhappy
مقلّق,m9l9,مقلّق,unhappy
جيني,jiini,جيني,genetic
ماضاروريش,madarorich,غير ضروري,unnecessary
مؤثر,mo2ttir,مؤثر,influential
مؤثر,mo2atir,مؤثر,influential
مؤثر,mo2tir,مؤثر,influential
غير,ghir,غير,just
هير,hir,غير,just
هير,8ir,غير,just
جيست,just,غير,just
جيعان,ji3an,جيعان,hungry
مكتّف,mokttaf,مكتّف,intensive
مكتّف,mokettaf,مكتّف,intensive
استوائي,stiwa2i,استوائي,tropical
موازي,mowazi,موازي,parallel
موازي,mwazi,موازي,parallel
ماباينش,mabaynch,ماباينش,subtle
آمن,2aamin,آمن,secure
آمن,aamin,آمن,secure
لتحتاني,lt7tani,لتحتاني,bottom
لتحتاني,lta7tani,لتحتاني,bottom
رائع,ra2i3,رائع,marvelous
فتيتاحي,ftitaa7i,افتيتاحي,preliminary
فتيتاحي,iftitat7i,افتيتاحي,preliminary
جزء,joz2i,جزء,partial
أقلّ,a9all,أقلّ,lesser
مساعد,mosa3id,مساعد,assistant
عمودي,3amoudi,عمودي,vertical
عمودي,3amodi,عمودي,vertical
تدريجي,tdriiji,تدريجي,progressive
تدريجي,tdriji,تدريجي,progressive
قارّي,9aarri,قارّي,continental
قارّي,9ari,قارّي,continental
كايعيّف,kay3yyef,بغيض,nasty
كايعيّف,kay3yyf,بغيض,nasty
راقي,raa9i,راقي,elegant
ملموس,mlmous,ملموس,concrete
ملموس,melmous,ملموس,concrete
ملموس,mlmos,ملموس,concrete
مؤقت,mo299at,مؤقت,interim
مؤقت,mo2a9at,مؤقت,interim
إلزامي,ilzami,إلزامي,compulsory
إلزامي,ilzaami,إلزامي,compulsory
مزمن,mozmin,مزمن,chronic
كايتخلّص,kaytkhlles,كايتخلّص,payable
منهاجي,mn8aji,منهاجي,systematic
منهاجي,mnhaji,منهاجي,systematic
منهاجي,man8aji,منهاجي,systematic
موضوعي,mawdou3i,موضوعي,objective
موضوعي,modo3i,موضوعي,objective
موضوعي,mowdo3i,موضوعي,objective
فازڭ,fazg,رطب,damp
حسّاس,7ssas,حسّاس,delicate
حسّاس,7assas,حسّاس,delicate
مملّ,momil,مملّ,dull
مملّ,momill,مملّ,dull
سحري,si7ri,سحري,magic
منيرڤي,mnirvi,منيرڤي,upset
أوّل,awal,أوّل,premier
أوّل,awwal,أوّل,premier
كايضحّك,kayD77ek,مضحك,fun
كايضحّك,kayda7ek,مضحك,fun
رائع,ra2i3,رائع,splendid
خدّام,khddam,تشغيلي,operational
خدّام,khaddam,تشغيلي,operational
خدّام,5edam,تشغيلي,operational
ستشاري,stichaari,استشاري,advisory
ستشاري,stichari,استشاري,advisory
بدائي,bida2i,بدائي,primitive
بدائي,bidaa2i,بدائي,primitive
إديولوجي,idioloji,إديولوجي,ideological
إديولوجي,idyoloji,إديولوجي,ideological
تيكنولوجي,tiknoloji,تيكنولوجي,technological
أنيق,ani9,أنيق,neat
معاكس,mo3akis,معاكس,contrary
ملاسق,mlas9,مجاور,adjacent
ملاسق,mlaseq,مجاور,adjacent
ملاسق,mlase9,مجاور,adjacent
عدواني,3odwani,عدواني,hostile
متلي,mitli,مثلي,gay
امن,2aamn,امن,peaceful
امن,2amin,امن,peaceful
كايخلع,kaykhle3,مريع,horrible
كايخلع,kaye5la3,مريع,horrible
جغرافي,joghrafi,جغرافي,geographical
ديناميكي,dinamiki,ديناميكي,dynamic
متحرّك,mota7rrik,متحرّك,dynamic
متحرّك,mota7erik,متحرّك,dynamic
ممتاز,momtaz,ممتاز,super
غير مباشر,ghayr mobachir,غير مباشر,indirect
تمين,tamiin,تمين,precious
تمين,tamin,تمين,precious
غالي,ghali,غالي,precious
غالي,ghaali,غالي,precious
ملحوض,ml7oud,ملحوظ,notable
ملحوض,mal7oud,ملحوظ,notable
ملحوض,mel7oud,ملحوظ,notable
محدّد,mo7adad,محدّد,definite
محدّد,mo7addad,محدّد,definite
مؤسف,mo2sif,مؤسف,unfortunate
فنّي,fnni,فنّي,artistic
فنّي,fenni,فنّي,artistic
فنّي,fanni,فنّي,artistic
ميغناطيسي,mighnatisi,ميغناطيسي,magnetic
ميغناطيسي,mighnaatisi,ميغناطيسي,magnetic
ماكايتقاداش,makayt9adach,ماكايتقاداش,endless
شرس,charis,شرس,fierce
خفيف,khfif,خفيف,mild
خفيف,5fif,خفيف,mild
مجهّد,mj88d,مجهّد,loud
مجهّد,mje88ed,مجهّد,loud
مجهّد,moje88ed,مجهّد,loud
مجهّد,mj8d,مجهّد,loud
مجهّد,mje8ed,مجهّد,loud
مجهّد,moje8ed,مجهّد,loud
طموح,tamou7,طموح,ambitious
بلهضرا,bl8dra,لفظي,verbal
بلهضرا,bel8adra,لفظي,verbal
بلهضرا,belhadra,لفظي,verbal
بلهضرا,blhadra,لفظي,verbal
ناضج,nadj,ناضج,mature
ناضج,naadj,ناضج,mature
ناضج,nadej,ناضج,mature
ناضج,naadaj,ناضج,mature
شرعي,chr3i,شرعي,legitimate
شرعي,char3i,شرعي,legitimate
شرعي,cher3i,شرعي,legitimate
معروف,m3rouf,معروف,well-known
معروف,m3rof,معروف,well-known
معروف,ma3rouf,معروف,well-known
معروف,ma3rof,معروف,well-known
محرج,mo7rij,محرج,awkward
محرج,mohrij,محرج,awkward
راضي,radi,راضي,content
