Darija (Arabic),English
صافي هه .. يحيى ~ يالاه الالة العروسة أنشوفوك شوية بالتقليدي .. نوار ~ هه,"Alright, haha .. Yahya ~ Come on, Bride Show, let’s see you a bit in traditional attire .. Nwar ~ Haha"
كنجي خايبة غير بلاش .. يحيى ~ هانا غانشوف ... نوار ~ يحيى كنبغيك ..,Yahya ~ I love you.
يحيى ~ هه حمقة يالاه تهلاي فراسك .. ناضت فرحانة وكتعض على شفايفها وتبوس فتيليفون,"Yahya ~ Haha, crazy one, take care of yourself... She got up happy, biting her lips, and kissing the phone."
حتا كادخل إسرااء .. إسراء ~ نواااااااار .. مشات كتجري وعنقاتها بادلتها حتا نوار العناق,"Until Israa entered... Israa ~ Nawar... She ran and hugged her, and Nawar returned the hug."
.. إسراء ~ لاباس عليك الحمقة .. نوار ~ بخير جيتي واخا عندك القرايا ههه,".. Israa ~ Crazy, are you okay? .. Nawar ~ I'm good, you came even though you have studies, haha."
.. إسراء ~ بفف غير هاد اليوماين وغانرجع .. نوار ~ مم مزيان صاڤا عليك,".. Israa ~ Ugh, just these two days and I'll be back .. Nwar ~ Hmm, good, are you okay?"
.. إسراء ~ طوب ختيتو ونتي هاي هاي عاش من شاف نوار غاتزوج .. حنات,".. Israa ~ Wow, my sister, you're glowing! Long time no see, Nwar is getting married .. Congratulations!"
نوار راسها بخجل وعينيها كيبريو .. إسراء ~ ناري يا ختي مين كتجيبي هاد.سر أنا,"Nour lowered her head shyly, and her eyes widened .. Israa ~ Oh my sister, where do you get this secret from?"
كنضل نطرش فراسي وماكيحماروليش الحنكين .. نوار ~ ههههههه حمقة، جدة جات وخالتي .. إسراء,"I keep zoning out and they don't stop talking nonsense... Amazing ~ hahaha crazy, grandma came and my aunt... Israa"
~ وي حبيبتي راهوم لتحت يالاه واجدة با جمعتي حوايجك .. نوار~ فف لا صراحة,"~ Yes, my love, they are downstairs. Are you ready? Did you pack your things? .. Noir~ Honestly, no."
مافيا لي يمشي لشي جمام ماكيعجبنيش أصلا ماعمرني مشيتلو .. إسراء ~ منيتك زيدي زيدي,"Mafia: I don't like anyone who goes to a hammam, I’ve never been to one anyway.  
Isra: My wish for you, keep going, keep going."
غانمشيو لحمام تركي واااعر شفت فالأنتريت مي الخلاص على حسابك أختشي ختك زاوية .. نوار,"""We're going to an amazing Turkish bath I saw on the internet, but you're paying, sis. Your sister is broke... just saying."""
~ ههه صافي ماتخافيش لكان هاكاك واخا .. إسراء ~ بفف سيري نتي عيشي برا,"~ Haha, don't worry if that's the case, okay .. Israa ~ Pff, go live abroad."
حسن المغرب مايجيش معاك .. نوار ~ زيدي زيدي ههه .. مشاو هابطين سلمات نوار,"Hassan Morocco doesn't suit you... Noir ~ Keep going, keep going haha... They went down, goodbye Noir."
على جداها وخالتها وتاهوما بقاو كيقشبو عليها حيت جاتهوم غريبة نوارتزوج داك البنت المنعزلة لي,Her grandmother and aunt kept making fun of her because they found it strange that she married that introverted girl who...
قليل فين كيشوفوها فشي مناسبة وحتا من هضرتها قليلة .. بعد.الحمام لي دوزوه غزال بحكم,"It's rare to see her at an event, and even when she speaks, it's little."
كان تركي وتهلات فيهوم نوار باش إتهلاو فيها بالعشوب والروائح وبخرو ليها الحمام برائحة الورد,"Turki took care of them, and Nawar pampered her with herbs, scents, and perfumed the bath with the fragrance of roses."
.. خرجو من تما لابسين حوايجهوم ومشاو لفين غايطلاقاو مع فيروز لقاوها كتسنى فواحد المول,".. They left there wearing their clothes and went to where they would meet Fayrouz, who was waiting for them in a mall."
هبطات نوار سلمات عليها وإسراء كذلك .. غادين وكل شوية فيروز تشكر فنوار وماقاداها فرحة,"Nour came down, greeted her, and Isra as well... They were walking, and every now and then Fayrouz praised Nour, overwhelmed with joy."
بمرات ولدها .. دازو عند مالين تكاشط هوما اللوالة شرات ليها ثلاثة جوج 3 بياس,"Sometimes her son... They went to the kaftan sellers, and she was the first to buy her three two-piece outfits."
أو وحدة جوج رائعين طبعا كنهوم لي صاري ومنهوم لي حرير معشرابلهوم وكاين لي شراتليها,"Or one or two are amazing, of course."
صباط عالي ديال الحضور تقريبا فيروز وإسراء لي كانو كيختارو أما نوار بصراحة ماكاتفهمش مزيان,"High heels of presence, almost Fayrouz and Israa who were choosing, but Noir honestly doesn't understand well."
فالتقليدي .. دازو من موراها عند مول الميكاب بغات ترفض نوار ولكن أكدات عليها فيروز,"In the traditional... they went after her to the makeup artist; she wanted to refuse Noir, but Fayrouz insisted on it."
بلي بغات تشريليها كولشي وديرليها شوار مغربي نيت مكمول من جميع النواحي .. دخلو لامارك,She wants you to buy her everything and prepare a complete traditional Moroccan trousseau... including branded items.
ديال فلورمار وشرات ليها صامصونيط كبيرة كولها ماكياج من جميع الأنواع وبجميع الألوان .. وشارتليها,"From Flormar, she bought her a big Samsonite full of makeup of all types and colors."
الروايح جوج أنواع .. مشاو من موراها لواحد الحانوت قد السخط كامل ملابس داخلية حمشمات,"The smells are of two types... They went behind her to a small shop full of underwear, and she felt embarrassed."
ماااااراا نوار ماقدرااتش تدخل كااع وإسراء بقات كتنغز فيها ودخلها صحا شراوليها جوج من الحاجة,"Mara Noir couldn't enter at all, and Isra kept signaling to her and brought her in properly, then bought her two of the item."
ولي شوميز دونوي كانو على دوق فيروز شراتهوم ليها فلبلو مارين وغمزاتها حيت عارفة ولدها,He bought her navy blue shirts in Fairouz's taste because he knows his son.
عزيز عليه هاد اللون ههه .. جاهوم داكشي تقيل رجعو حطوه فطوموبيل ورجعو كملو حتا,"He likes this color haha... They found it heavy, took it back to the car, and returned to continue."
كملو ورجعو ركبو فالطوموبيل كانت نوار لي سايكة وفيروز كتهضر مع يحيى تاكاتقولو يطلاقاها عند,"They finished and got back into the car; Noir was driving, and Fayrouz was talking to Yahya, telling him to meet her at..."
بيجوتيري ريانارت عندها نوار بصدمة حشمانة كاوقفو تالعندو كان يحيى واقف نيت تما كيتسناهوم نزلو,"Bijouterie Ryanart has a black one with a shy shock; they stopped by him, and Yahya was standing right there waiting for them to come down."
وهو مبتاسم شافت فيه نوار وإبتسمات بخجل سبقوهوم فيروز وإسراء دخلو وهي جات حنى وقفات,"He was smiling, Nwar saw him and smiled shyly; Fayrouz and Israa entered before them, and she came, bent down, and stood."
حداه كان داير يديه فجيبو .. يحيى ~ ختاريتي لي بغيتي كامل ؟ ! ..,He had his hands in his pockets .. Yahya ~ Have you chosen everything you want? ! ..
كتافات تحرك راسها بأه حتا كيمدليها يدو باش زعما تعطيه يديه طلعات عينيها فعينيه وهو,"She nodded her head with a ""yes"" as he extended his hand to her, as if asking her to give him her hand; she raised her eyes to meet his."
يبتاسم بتاسمات بفرح ومداتلو يديها شاف فيهوم وزير عليهوم وتمو داخلين طبعا شكون لي ماكيعرفش,"She smiled joyfully and extended her hands to him; he looked at them, smiled back, and they both walked in. Of course, who wouldn’t know?"
بيجوتيري ريان ( أحسن بيجوتيري فرباط كيمشيولو غير المفنيني والممثلين ديال المغرب ) وقفو عند,"Ryan Jewelry (The best jewelry store in Rabat, frequented only by Morocco's celebrities and actors)."
الموظف .. يحيى ~ جبدلي ٱخر كوليكسيون عندكوم تكون شي حاجة مزيانة .. الموظف ~,"The employee .. Yahya ~ Show me the latest collection you have, something nice .. The employee ~"
مرحبا أسيدي .. .. بقات كتعض شفايفها وهو كيشوف فلي كيلويي لي كيجبد بانتلو واحد,Hello sir... She kept biting her lips while he was looking at the one pulling up his pants.
الكورميط خفيفة وستايل زوين كتوسطها فراشة .. يحيى ~ جبدلي هادي .. عطاهالو وجر ليها,"The fishing rod is light and stylish, with a butterfly in the middle .. Yahya ~ grab this one for me .. he gave it to him and pulled it for her."
يديها لبسهاليها وهو كيعض حنكو من لداخل كيشوف كيجاها تاطلع عينو فيها لي كانت أصلا,"He put it on her hand while biting his lip from the inside, watching how it suited her, his eye fixed on her as it already was."
كتشوف فيه .. يحيى ~ كيجاتك ! ؟ .. نوار ~ زوينة ( بابتسامة ),You're looking at him... Yahya ~ How do you find him!? .. Nawar ~ Beautiful (with a smile)
.. دار بانتلو وحدة أخرى جبدهالو كانت شوية وازنة على الأخرى قيسها جاتها تاهية زوينة,".. He pulled out another one for her, it was a bit heavier than the other, she tried it and found it nice too."
.. مازال مامتيقاش وهو كيختارها فالمجوهرات لي إيليقو مع يدها تاعجباتو وحدة خفيفة وكتوسطها علامة,.. He still can't believe it as he chooses jewelry that suits her hand; he liked a simple one with a symbol in the center.
مالا نهاية ∞ .. بالخاتم ديالها لي تاهو كيجي سانبل حتا ركبهوم ليها وهز يديها,"Infinity ∞ .. with her ring, which is also simple, until he put it on her and raised her hands."
باسها .. يحيى ~ بغيت هادو مايتحيدوش من يديك واخا .. حركات راسها بأه وحتارليها,Her kiss .. Yahya ~ I want these to stay in your hands no matter what .. She nodded in agreement and smiled at her.
كولي كيجي بسنسلة ديالو والحواقل مع كورميط تاهو طلب منو يجمعو ليها تاضارت لقات فيروز,"She said he should come with his chain and belongings, and with Kormit, she also asked him to gather for her the land where she found Fayrouz."
كاتساوم فواحد المضمة حلات فمها ومشات كتجري عندها .. فيروز ~ أجي ابنتي كيجاتك هادي,"She was bargaining with a vendor, opened her mouth, and ran to her... Fayrouz ~ Come here, my daughter, what do you think of this one?"
.. نوار ~ لمن .. فيروز ~لييك .. نوار ~ أويلي أخالتي لا لا بلاش,".. Nwar ~ For whom .. Fairouz ~ For you .. Nwar ~ Oh my aunt, no no, stop."
أنا مطنلبس المضمات .. فيروز ~ لا والو أبنتي هادو تقاليد ديالنا .. شافها يحيى,"""I don't wear belts... Fayrouz ~ No, my daughter, these are our traditions... Yahya saw her."""
.. يحيى ~شنو هادي كتلبس مع القفاطن ؟ ! .. فيروز ~ اييه .. يحيى,.. Yahya ~ What do you wear with caftans? ! .. Fayrouz ~ Yes .. Yahya
~ ( شاف فنوار ) شنو عجباتك ! ؟ .. نوار ~ يحيى أنا ماغنلبسهاش,"~ (He saw the dress) What did you like!? .. The dress ~ Yahya, I won't wear it."
والله غير بلاش عافاك .. يحيى ~ خليها عندك شنو فيها هاهي عندك تانهار تبغي,"Honestly, no need, please... Yahya ~ Keep it with you, what's the harm? Here it is with you until the day you need it."
تلبسيها ولبسيها، شنو شحال قاليك .. فيروز ~ واحد أو ربعين مليون شوف معاه نديوها,"Wear it and let her wear it, how much did he tell you... Fayrouz ~ One or forty million, see with him, we'll take it."
بداك الربعين .. نوار حلات فمها ~ شناااهو خالتي لا لا أويليييي لا والله بلاش,"That forty... Nwar opened her mouth ~ What is it, auntie? No, no, oh my! No, really, never mind."
راه غالية بزاف .. إسراء كالسة تنغز فيعا من اللور .. إسراء ~ هاوييل يسدي,It's very expensive .. Israa is poking me from behind .. Israa ~ Stop it!
داك الفم نسا غايموتو باش إشريو المضمة ونتي كلسي ديريلينا فيها المرأة المتواضعة .. دارت,"""That mouth made women die to buy the belt, and you sit and act humble... she did."""
نوار حنزرات فيها يلاه غاضور حتا نطق يحيى .. يحيى ~ صافي لكانت عجباتها هادي,"Nawar hesitated until Yahya spoke... Yahya ~ That's it, if she liked this one."
إيجمعها لينا باش نمشيو خلاص .. على يدو للخادم باش إجي يجمع حتا همسات نوار,Gather it for us so we can leave... He handed it to the servant to come and collect even the whispers of Noir.
فودنو .. نوار ~ يحيى عافاك بلاش والله راه بزاف م .. يحيى ~ ششش,"In his ear... black ~ Yahya, please stop, honestly, it's too much... ~ Yahya ~ Shhh"
نتي غادي تخلصي شي حاجة الالة وصافي .. سدات فمها وهي معصبة شافت المجنوع شحال,"""You'll just pay for the machine and that's it... She shut her mouth angrily and looked at the total amount."""
تاكاتسمع خمسين مليون وهي كتحلف فخاطرها على مها حيت هي السباب نااااااري خمسيين مليون حطها,"She heard ""fifty million"" and started swearing in her mind about her mother because she’s the reason—oh my! Fifty million! She put it down."
كااش بفف هي بصح بنت القاضي وهس طبيبة وبنت أسنااذة جامعية ولكن باش تحط خمسين,"Kaash Bff is really the judge's daughter, a doctor, and the daughter of university professors, but to put fifty..."
مليون كاش فنهار واحد بففف رااه بزااف .. يالاه غايخرجو حتا جرات نوار يحيى من,"A million cash in one day, pff, that's a lot... they'll even bring out the black ants, Yahya is out."
الشوميز ديالو ودار عندها .. نوار ~ خالتي واش باقي شي حاجة .. فيروز وإسراء,"""His shirt and he went to her.. black ~ Auntie, is there anything left.. Fayrouz and Israa"""
كيشوفو فيها وفهمو البلان تبسمو ~ احم بنتي إسراء يالاه نمشيو حنا تايلحقو علينا شي,"They looked at her and understood the plan, they smiled ~ ""Ahem, my daughter Israa, let's go before someone catches up with us."""
حاجة .. إسراء ~ اه واخا يالاه .. مشاو هوما ركبو فاللوطو ديال فيروز وهي,"Something .. Israa ~ Yes, okay just now .. They left, they got into Fayrouz's car, and she..."
دور عند يحيى .. نوار~ يحيى م أنا عرفتك داير هادشي كامل على ودي ولكن,"Go to Yahya... Noir~ Yahya, I know you're doing all this for me, but..."
واش ممكن تقبل مني واحد الحاجة .. يحيى~ إييه شناهي الالة .. جراتو من يدو,"""Can you accept something from me?""  
Yahya: ""Yeah, what is it?""  
""It slipped from his hand."""
ودخلاتو لداخل لجيهت الخواتم ديال الرجال كانو أنواع وأشكال .. نوار~ ختار شي خاتم غايكون,She brought him inside to the men's rings section; there were various types and designs.
على حسابي بغيتك تختارو على دوقك حيت دوقي ماكيعجبكش .. ضحك وهو كيشوف فيها ..,"""It's on me, I want you to choose based on your taste because you don't like mine."" He laughed as he looked at her."
يحيى ~ هههه مم قول اليوم غاتخلص علينا الأنسة نوار واخا احم هاحنا غانشوفو ..,"Yahya ~ Haha, hmm, say today Miss Nawar will treat us, okay, ahem, we’ll see..."
هبط عينو كيشوف فالخواتم فالأخير طلب منو يجبد خاتم سانبل منقوش شوية بزخرفات ولكن رجالي,"He lowered his gaze, looking at the rings, and finally asked him to bring out a simple ring with slight engravings but masculine."
فنقري .. شافتو نوار وإبتسمات شداتو من عندو وهزات يدو ركباتو ليه .. وإبتاسمات ضحك,She smiled.
بخفة على حركاتها الطفولية جرها وباسها من جبهتها .. نوار ~ تانتا ماتحيدوش من يديك,"Gently, with her childish movements, he pulled her and kissed her on her forehead... Nawar ~ ""Tanta, don't let go of it from your hands."""
وواخا .. يحيى ~ هه واخا الالة .. جرات وخلصاتو واخا مكانش شي حاجة كثيرة,Alright .. Yahya ~ haha alright madam .. she ran and paid for him even though it wasn’t much.
جاتها 2500 درهم هي لي خلصاتهل وخرجات فرحانة بحالي دارت إنجاز .. هاكا دوزات النهار,"She got 2500 dirhams, paid it herself, and left happy as if she accomplished something... That's how she spent the day."
إلى أن توالت العشية .. هاهية دابا كالسا بعد.مادخلات عندها جداتها وخالتها ومها لبسوها قفطان,"Until the evening came... Now she is sitting. Her grandmother, aunt, and mother dressed her in a caftan."
فالأخضر الملكي سانبل مع نقيشات فالذهبي كتافات تخلي شعرها مطلوق ودون ماتحط والو فوجها من,"In royal green with golden patterns, she lets her hair down without putting anything on her face."
غير أن جداتها كحلات ليها عينيها وهادي كانت أول مرة غاتحط نوار الكحل فعينيها كولهوم,"Except that her grandmother applied kohl to her eyes, and this was the first time Nawar would wear kohl on all her eyes."
نباهرو فيها فعلا السر كيطيح على الواحد .. قربات ليها جداها باستها من جبهتها وهزات,"Her grandmother approached her, kissed her on the forehead, and lifted her."
السلهام المطروز موروث من عندها لعند غزلان ودابا نوار كان كامل مطروز بالذهبي شبكة كيبين,"The embroidered selham is a heritage passed from her to Ghizlan, and now it’s black, fully embroidered with golden patterns."
شوييية دارتو عليها مغطية وجها وكلساتها فوق الناموسية .. الظيوف كولشي جا لي غايحضرو للحنى,"A little, they covered her face and seated her on the canopy bed... All the guests arrived for the henna ceremony."
كانو صحابات غزلان وحتا عمامات نوار وجداتها ديال باها كولشي تقام فالدار ديال غزلان على,"They were Ghazlan's friends, as well as Nawar's aunts and her father's grandmothers; everyone gathered at Ghazlan's house."
حقو وطريقو طبعا إستدعات الطريطور لدار المؤكولات كولشي كان مقاد تفصات زربية حمراء طويلة فالكولوار,"His right and his way, of course, summoned the caterer to the food house; everything was prepared, with a long red carpet laid out in the corridor."
ديدجي صايب بلاصتو وبدا كيقاد النوت ديالو فبلاصة فصالون فين كولشي كالس تصايبات بلاصة بليزار,"The DJ set up his spot and started preparing his notes in a corner of the living room where everyone was seated, and a space was arranged with lights."
مطروز بلدي ديال الحناء وكلسة الجنة كانت موجودة مع نقاشة لي كانت كالسة كاتساين ..,"Embroidered traditionally with henna, and the paradise seating was present with a naqasha (henna artist) who was sitting and waiting."
نوار ~ ناري فيا الخلعة أ إسراء .. إسراء ~ هه منيتك مهيم كيجيتك أنا,"Nawar ~ Oh no, I'm so scared, Israa..  
Israa ~ Haha, as you wish, anyway, how do I seem to you?"
.. شافت فيها نوار كانت لابسة قفيطين خفيف فالأسود ولكن جا معاها بحكم تاهية بيضة,".. She saw that Nawar was wearing a light black caftan, but it suited her since she was also fair-skinned."
وتاهية عندها حقها فالزين وأكثريا شعرها تبارك الله الأسود.لي واصل الخصر .. نوار ~ محمقني,"And she also has her share of beauty, especially her black hair, reaching her waist... stunning ~ driving me crazy."
غير شعرك .. إسراء ~ كون طوليه تانتي غايولي بحال ديالي أنا وياك راه شعر,"Just your hair, Israa ~ If you grow it, it will become like mine. You and I, it's all about hair."
واحد .. نوار ~ وي عارفة مي كيقنطني منقدرش .. إسراء ~ مهيم خودي نفس,"One .. Noir ~ Yes, I know, but it frustrates me, I can't .. Israa ~ Anyway, take a breath."
.. شوية تمات داخلين بنات عماتها تسالمو عليها تاهوما كانو لابسين البلدي وقفيطنات فالكحل بحالي,".. A little while later, her cousins came in to greet her; they were also wearing traditional outfits and black caftans like me."
تافقو تاكيسمعو الدقة المراكشية مشاو بسرعة كيطلو خلاو نوار غير كالسة بحكم كانت مغطية بالسهام,"They agreed to listen to the Marrakchi rhythm, left quickly to check, leaving Nwar just sitting since she was covered with arrows."
.. إسراء ~ نااري يا ختي هادشي كاامل ياااي .. نوار ~ مالكوم أش كاين,"Israa: ""Oh my! My sister, all of this, wow!""  
Nour: ""What's wrong with you? What's going on?"""
.. أميمة ~ ناري عندهوم الزين فالعائلة .. ناضت بسرعة كتهز فجلايلها وكدوز بيناتهوم ..,".. Omaima ~ ""Wow, beauty runs in their family."" .. She quickly got up, adjusting her clothes, and passed between them .."
نوار ~ حيدو نشوف .. إسراء ~ بشوية أويلي ... نوار ~ ناري أول مرة,"Nour: ""Move so I can see.""  
Isra: ""Slowly, oh my!""  
Nour: ""Oh no, it's the first time."""
غانشوف عائلتو .. نيهال ~ ففف غير التيتيزة لختها شوفي هاديك الشهبة .. عوجات نوار,"""I'll see his family... Nihal ~ Pff just the show-off, her sister, look at that blonde one... twisted Noir."""
بغنج فمها ورجعات كلسات فوق الناموسية والبمات باقين كيبرككو حتا دخلو عائلة مولاي السلطان بزغاريت,She pouted her lips and sat back on the canopy bed while the women kept ululating until the family of Moulay Sultan entered with celebratory cries.
.. إسراء ~ أحم تاحنا زوينات وااه ماتخافيش أختيتو مانحشموش بيك غير هو ماعندوش خوه,".. Israa ~ Ahem, we are beautiful, yes, don't worry, sister, we won't embarrass you, it's just that he doesn't have a brother."
.. أميمة ~زويين ؟ .. إسراء ~ ويلي ياا ختي غير زوين وسكتي كيحمق ..,".. Oumaima ~ Beautiful? .. Israa ~ Oh my sister, not just beautiful, he's stunning and drives you crazy. .."
نوار~ خمسة وخمامس .. نيهال ~ شوفليك المغيارة .. نوار ~ ملعندووش ختو مووتو بسم,"Nawar ~ Five and a half .. Nihal ~ Look for the change .. Nawar ~ He doesn’t have a sister, his mother passed away."
عليهوم غزلان .. غزلان ~ ( كتفرق عليهوم الشمع ) يالاه إلى واجدين يالاهو ..,"""On them, Ghazlan... Ghazlan ~ (she's distributing candles to them) come on, if you're ready, let's go..."""
نوار~ ماما عضري مع ديدجي إنقس من الموسيقى راه زدتو فيه بزاف ... غزلان ~,"Nour: Mom, turn down the music with the DJ, you've overdone it... Ghizlane."
واش نتي حمقة راه دابا غايطلقوليك الموسيقى باش تهبطي مهيم راه عائلة العريس جاو يالاهو,"Are you crazy? They're about to play the music for you to come down. Anyway, the groom's family has arrived."
أميمة ضربيهاليك أبنتي بأحسن تزغريتة .. مشات تقدمات حلات الباب وبدات تصلي على النبي نوار,"Oumaima, give it your best ululation, my daughter... She went, introduced herself, opened the door, and started praising the Prophet, Noor."
فيها الخلعة عمرها ضنات فحياتها غاتجرب هاد.الشهور بيدها دابا ماكرهاتش لي يقرصها باش تيق إسراء,"She's terrified; she never thought she'd try this in her life. Now, she wouldn't mind someone pinching her to make her believe it."
جات فجنبها ليكن وأميمة فليسر ونيهال من موراهوم بثلاثة شادين الشمع فيديهوم وكيصليو على النبي,"She came next to her, with Layan and Omaima on the left, and Nihal behind them, holding candles in their hands and sending blessings upon the Prophet."
تعالات زغاريت مين بدات توصل لتحت وديدجي طلق أغنية دخلة العروسة كولشي وقف من بلاصتو,"Ululations started as she reached downstairs, and the DJ played the bride's entrance song; everyone stood up from their place."
كيصفقو وفيروز تقدمات تاهية ماقاداها فرحة .. كتحاول تعلي نوار غير من بين شفارها باش,"They clap, and Fairouz stepped forward, overwhelmed with joy... She tries to smile just slightly through her lips to..."
تشوف الحضور وهي كتشوف الأنضار كووولها عليها بوحدها خوالاتها وعماتها كيرشوها بزهر وهي دايزا بيناتهوم,"She sees the audience, and all eyes are on her alone as her aunts and cousins shower her with flowers while she walks among them."
حتا وصلوها لبلاصتها وكلسات قاداتليها النگافة كيفاش تكلس قربات شداتليها يديها غاتنقش حتا نطقات نوار,"Until they brought her to her place and she sat down, the naqafa (henna artist) instructed her on how to sit. She approached, held her hands, and was about to start applying henna when she uttered ""Nwar."""
من تحت السلهام .. نوار ~ ختي واخا تعيطي لماما .. بعد.دقائق جات غزلان ..,"From under the selham... a flower ~ Sister, even if you call Mama... A few minutes later, Ghizlane arrived."
نوار ~ ماما ماغاتحيديش هاد السلهام ... غزلان ~ هاويلي منيتك راه تاغايدخل يحيى هو,"Nour: Mom won't take off this cloak...  
Ghazlan: Oh my, your wish, Yahia is about to come in!"
لي يحدووليك .. نوار ~ كيفاااش غا غا غاييدخلل لا لا أماما بلاش .. غزلان,"""Those who envy you... Noor ~ How will he enter, no, no, forget it... Ghizlane."""
~ سكتيينااا، بنتي بدايليها فالنقش .. نوار ~ سمعي نقشيلي يد وحدة وديريلياكشي خفيف ..,"~ Quiet down, my daughter, start the henna design .. simple ~ Listen, do one hand and make it light .."
غزلان ~ سمعي أبنتي نقشيليها اليدين بجوج وديريليها داكشي ديال العرايس وديك.ساعةوزي لرجلين .. نوار~,"Ghazlan ~ Listen, my daughter, decorate both her hands and do the bridal designs, then move to the feet... Noir~"
لواااااه نتيي الكرعييين ماشي رجلين سمعي أختي عافاك سمعيلي غادي.ديريلي يد.وحدة هادي.وغير خفيف راه ماكانحملش,"Wow, your legs are not just legs! Listen, sister, please listen to me. You're going to give me a hand with this, and just lightly because I can't handle it."
الحنا .. ماعرفات النكافة فين ترد الراس بدات كتحني ليها فاليد والموسيقى مطلوقة كتشوف بنات,"The henna artist didn’t know where to start, so she began applying henna on her hand while the music played, and she watched the girls."
عماتها وخالتها حامينها من الشطيح أما من عائلة يحيى ماقشعات تاحد وكتفكر كيفاش يحيى لي,"Her aunts and maternal aunts are protecting her from dancing, but from Yahya's family, no one showed up, and she's thinking about how Yahya..."
غايدخل إيحيد عليها السلهام ... هاكا بقات جاها الملل والنعاس وضرها جوع شي نص ساعة,"He will come in to take off her cloak... That's how she ended up feeling bored, sleepy, and hungry for about half an hour."
حتا تسمعو الزغاريت وإسراء مشات كتجري فرحانة كضحك وهمسات فودنين نوار .. إسراء ~ الله,"Until you hear the ululations, and Israa ran happily, laughing, with whispers in Nawar's ear... Israa ~ God"
عائلتو عاد ناضو يسفقو تطلقات أغنية تعال يا بنتي الخلال ( طبعا إسراء مولاتها ),"His family just started clapping as the song ""Come, My Daughter Al-Khilal"" (of course, by Israa, its owner) was released."
دخل هو وولاد عمامو من موراه كيتسورو كان لابس سروال فالأسود مع شوميز فالأسود مزيرة,"He entered with his cousins following him, wearing black pants and a tight black shirt."
عليه بكراڤاط فالأسود .. ماحسات غير بريحتو كلسات جنبها .. بقات كتبسم وضحك تحت السلهام,He wore a black tie... She only noticed his scent as she sat next to him... She kept smiling and laughing under the cloak.
وهو كيضحك مع ولد عمو تادار شاف فيها وبقا كيطل عليها شوية تحت السلهام تاتنحا,He was laughing with his cousin when he noticed her and kept glancing at her a bit under the selham as it was being removed.
وهمس ليها فودنيها .. يحيى ~ تباركة الله على الدكتورة نوار ههه .. بقات غير,And he whispered in her ear... Yahya ~ Blessings upon Dr. Nawar haha... All that's left is...
كضحك وقلبها كيضرب فالمياتاين غزلان كتصف وكتزغرت والكاميرات كولهوم عليهوم تنحا هز ليها السلهام على,"She laughs, and her heart beats fast."
وجها حتا كيبانولو عينيها المكحلين هز حاجبو بإعجاب فيها وقرب ليها باسها فجبهتها وكولشي كيشوف,"Her face appeared, revealing her kohl-lined eyes; he raised his eyebrow in admiration, approached her, kissed her on the forehead, and everyone was watching."
بنات عماتها وخالتها ماقاداهوم فرحة وكيسورو رجع همس فودنها .. يحيى ~ من هاد.نهار نبغيك,"Her cousins (aunts' daughters) are overjoyed and asking questions. He whispered in her ear, ""Yahya ~ From this day, I love you."""
كل نهار مكحلة هاد العنين .. شافت فيه بخجل مخرجة عنيها غمزها ولاد.عمامو بداو إشطحو,"Every day, these eyes are darkened... She looked at him shyly, lowering her gaze; he winked at her, and his cousins started dancing."
على الأغنية ( تعال أشبعك حب أشبعك دلال تعال يا بني الحلال ورييد أشرد بيك,"""Come, I'll fill you with love, spoil you with care, come, oh righteous one, I want to escape with you."""
تعال أحبك حب خرافي تعال حب قوي مو على البال فديت هادا الجمال تعال تعال,"Come, let me love you with extraordinary love. Come, a strong love beyond imagination. I adore this beauty. Come, come."
تعال أريد أحضنك حضن ما إنتقام ويلي ويلي مايت بيك وشلون عنك أفترق ) ..,"Come, I want to hug you, a hug not for revenge. Wili Wili, I can't live without you, how can I part from you?"
بقا كيضحك عليهوم وهي غير ساهية فيه .. حتا هبط عينو فيديها تقريبا كانت كملات,"He kept laughing at them while she was just ignoring him... until his eyes fell on her hands, she had almost finished."
نقشة داليد .. رجع هبط وهمس فودنها .. يحيى ~ ماتزيديش ديري الحنة باركة عليك,"Dalid's design .. he leaned down and whispered in her ear .. Yahya ~ Don't put on henna anymore, that's enough for you."
ملعنديش معاها ... بقات غاتوعد لمها فالداخل ديالها ولكن فنفس الوقت ماقاداها فرحة .. يحيى,"""I don't get along with her... she kept promising her mother deep inside, but at the same time, she couldn't contain her joy... Yahya."""
~ يالاه أحبيبة غانمشي دابا ( شاف فيها دلال شفايفها ) ناس قدامنا ( غمزها,"~ Alright, my love, I’m leaving now (he looked at her lips with admiration) people are in front of us (he winked at her)."
) تانكونو بوحدنا وتفشي على خاطرك هه .. ناض من قدامها وجر واحد و عمو,") Let’s be alone and relax, haha .. He got up in front of her and pulled one of his uncles."
بحرا يتبعوه لخرين وإسراء قربات تبكي كانو كاملين ياا حبيبي لاهي لا أميمة لا نيهال,"""A sea followed by others, and Israa was about to cry, they were all there, oh my love, neither Omaima nor Nihal."""
طاحو على زنافرهوم .. مشاو كيجريو عند نوار .. إيراء ~ سمعي نتي حملي دغيا,"""They got caught ... they ran to Noir ... Ira ~ Listen, you're pregnant quickly."""
باش تولد ونطلاقاو معاهوم فالسبوع نشدو النمرة .. حلات فمها على جهدو فيهوم الحماق وصافي,"To give birth and start with them in the week, we take the number... She opened her mouth wide, full of madness, that's it."
