Darija (Arabe),Arabizi,Arabe,Anglais
شنو هما الوثائق اللي خاصين باش نجدد بطاقة الإقامة؟,chno homa lwatha2i9 lli khasin bach njadded bita9at li9ama,ما هي الوثائق المطلوبة لتجديد بطاقة الإقامة؟,What documents are needed to renew a residence card?
كيفاش نقدر ندير طلب باش نركب ماء ولا تريسيتي جديدة؟,kifach n9dm talab bach nrkb ma wla tricite jdida,كيف أقدم طلب ماء أو كهرباء جديد؟,How can I apply for a new water or electricity connection?
فين نلقى معلومات على تقسيم الأراضي؟,fin nalqa ma3loumat 3la taqsim aradi?,أين أجد معلومات عن تقسيم الأراضي؟,Where can I find information about land division?
شنو هي الإجراءات باش ندير رخصة حفر؟,chno hiya ijraat bach ndir rakhsa 7afr?,ما هي الإجراءات للحصول على رخصة حفر؟,What are the steps to obtain a digging permit?
شنو هي الإجراءات باش ندير رخصة حفر؟,chno hiya ijraat bach ndir r5sa 7afr?,ما هي الإجراءات للحصول على رخصة حفر؟,What are the steps to obtain a digging permit?
كيفاش نحل مشكلة في فاتورة الكهرباء؟,kifach nhall mochkil f fatora tricite?,كيف أحل مشكلة في فاتورة الكهرباء؟,How can I resolve an issue with my electricity bill?
فين نقدر ندير شكاية على مشاكل فالطريق؟,Fin n9der ndir chi chikaia 3la mochkil f trri9?,أين يمكنني تقديم شكوى عن مشاكل الطرقات؟,Where can I file a complaint about road problems?
كيفاش نقدر نسجل المشروع ديالي الجديد فالولاية؟,Kifach n9der nsjjel lmochro3 dyali ljedid f lwilaya?,كيف أسجل مشروعي الجديد في المحافظة؟,How do I register my new project with the province?
شنو ندير باش نبدل الكونتور ديالي؟,chno ndir bach nbddl lconteur dyali?,ماذا أفعل لتغيير العداد الخاص بي؟,What should I do to change my electricity meter?
فين نقدر نلقى لاليسن المشاريع السكنية الجديدة؟,Fin n9der nla9a la liste dyal lmachari3 skaniya ljedida?,أين أجد قائمة بالمشاريع السكنية الجديدة؟,Where can I find a list of new housing projects?
كيفاش نتبع طلبي للسكن الاجتماعي؟,kifach ntba3 talabi lsokon ijtima3i?,كيف أتابع طلبي للحصول على السكن الاجتماعي؟,How do I track my application for social housing?
شنو هي شروط الاستفادة من الكهرباء الريفية؟,chno hiya chourout istifada mn kahraba rifia?,ما هي شروط الاستفادة من الكهرباء الريفية؟,What are the conditions for benefiting from rural electricity?
كيفاش نقد نقدم طلب تجهيز طريق قروية؟,kifach nqdr nqdm talab tajhiz tari9 9arwiya?,كيف أقدم طلب تجهيز طريق قروية؟,How can I request the installation of a rural road?
فين نلقى خدمات تصفية المياه؟,fin nal9a khidmat tasfiya ma?,أين أجد خدمات تصفية المياه؟,Where can I find water treatment services?
كيفاش نقدم شكوى عن خدمات البلدية؟,kifach nqdm chikaia 3la khidmat baladiya?,كيف أقدم شكوى عن خدمات البلدية؟,How do I file a complaint about municipal services?
كيفاش نقدم شكوى عن خدمات البلدية؟,kifach n9dm chikaia 3la 5dmat baladiya?,كيف أقدم شكوى عن خدمات البلدية؟,How do I file a complaint about municipal services?
شنو هي شروط الاستفادة من قطعة أرضية؟,chno hiya chourout istifada mn 9it3a ardia?,ما هي شروط الاستفادة من قطعة أرضية؟,What are the conditions to benefit from a plot of land?
كيفاش نبلغ على أضرار البيئة؟,kifach nblgh 3la adrar bi2a?,كيف أبلغ عن أضرار بيئية؟,How can I report environmental damage?
فين نقدر نقدم طلب باش نلقى تمويل لمشروع صغير؟,Fin n9der n9dem talab bach nl9a tamwil lmachrou3 sghir?,أين يمكنني تقديم طلب تمويل مشروع صغير؟,Where can I apply for funding for a small project?
شنو هي برامج البلدية لتنظيف المدينة؟,chno hiya baramij baladiya li tandif madina?,ما هي برامج البلدية لتنظيف المدينة؟,What are the municipality's programs for cleaning the city?
فين نقدر ندير شكاية على تسرب ديال الما؟,Fin n9der ndir chikaya 3la tasarob dial lma?,أين أقدم شكوى عن تسرب المياه؟,Where can I file a complaint about water leakage?
كيفاش نقدر نطلب دعم مالي باش نجدد الدار ديالي؟,Kifash n9der ntlob da3m mali bach njadded ddar diali?,كيف أطلب دعماً مالياً لترميم المنزل؟,How can I request financial support to renovate my house?
