Darija_Arabe,Arabizi,Arabe_Standard,Anglais
كيفاش نقدر نبدل رمز PIN ديال SIM ديالي؟,kifach n9der nbdl kode pin dial sim dyali,كيف يمكنني تغيير رمز PIN لبطاقة SIM الخاصة بي؟,How can I change the PIN code of my SIM card?
شنو هي الخطوات باش نحل التليفون ديالي؟,Chno l khotwat bach nfth tilifun diali,ما هي الخطوات لفتح هاتفي المغلق؟,What are the steps to unlock my phone?
شنو هي الخطوات باش نحل التليفون ديالي؟,Chno l 5twat bach nfth tilifun diali,ما هي الخطوات لفتح هاتفي المغلق؟,What are the steps to unlock my phone?
كيفاش نقدر نستعمل الإنترنت وأنا مسافر؟,kifach nqdr nsta3ml l internet wana msafer,كيف يمكنني استخدام الإنترنت أثناء السفر؟,How can I use the internet while traveling?
كيفاش نقدر نستعمل الإنترنت وأنا مسافر؟,kifach n9dr nsta3ml l internet wana msafr,كيف يمكنني استخدام الإنترنت أثناء السفر؟,How can I use the internet while traveling?
شحال كيدير تمن المكالمات الدولية من المغرب؟,Ch7al kidir tman lmokalamat ddawliya mn l-mghrib?,ما هي تكلفة المكالمات الدولية من المغرب؟,What is the cost of international calls from Morocco?
كيفاش نقدر نحبس خدمة التجوال؟,Kifash nqdr nhbes khidmat tjwal?,كيف يمكنني إيقاف خدمة التجوال؟,How can I disable roaming services?
كيفاش نقدر نحبس خدمة التجوال؟,Kifach n9dr n7bes 5idmat tjwal?,كيف يمكنني إيقاف خدمة التجوال؟,How can I disable roaming services?
فوقتاش خاصني نخلص الفاتورة,Fwaqtach khasni nkhalles lfatora ?,ما هي المهلة الزمنية لتسديد الفاتورة؟,What is the payment deadline for my bill?
فوقتاش خاصني نخلص الفاتورة,Fwa9tach 5asni nkhales lfatora ?,ما هي المهلة الزمنية لتسديد الفاتورة؟,What is the payment deadline for my bill?
كيفاش نقدر نبلوكي رقم كايديقني؟,Kifach n9der nbloki ra9m kaydaya9ni?,كيف يمكنني حظر رقم مزعج؟,How can I block a nuisance number?
كيفاش نبدل اسمية الشبكة ديالي,Kifach nbdl smiya dyal lchabka dyali?,كيف يمكنني تغيير اسم الشبكة الخاصة بي؟,How can I change the name of my network?
شحال تقدر تكون التكلفة ديال تغيير الرقم ديال التليفون,Ch7al tqdr tkoun taklifa dyal tghyir r9m dial telephone?,ما هي تكلفة خدمة تغيير الرقم؟,What is the cost of changing my phone number?
إلا لقيت شي خطأ فالفاتورة، شنو ندير؟,"Ila l9it chi khata2 f lfatora, chno ndir?",ماذا أفعل إذا وجدت خطأ في فاتورتي؟,What should I do if I find an error in my bill?
إلا لقيت شي خطأ فالفاتورة، شنو ندير؟,"Ila l9it chi 5ata f lfatora, chno ndir?",ماذا أفعل إذا وجدت خطأ في فاتورتي؟,What should I do if I find an error in my bill?
كيفاش نقدر نزيد خدمة جديدة ف العرض ديالي؟,Kifaؤh nqdr nzid (هidma jdida f lpak dyali?,كيف يمكنني إضافة خدمة جديدة إلى خطتي؟,How can I add a new service to my plan?
شنو ندير إذا مشكلتي التقنية ما تحلتش؟,Chno ndiro ila mochkilti t9niya ma t7llatch?,ماذا أفعل إذا لم يتم حل مشكلتي التقنية؟,What should I do if my technical issue is not resolved?
كيفاش نقدر نشوف تاريخ المكالمات ديالي؟,Kifash nqdr nchouf tarikh mokalamat dyali?,كيف يمكنني رؤية سجل المكالمات الخاص بي؟,How can I view my call history?
كيفاش نقدر نشوف تاريخ المكالمات ديالي؟,Kifach n9dr nchouf tari5 mokalmat dyali?,كيف يمكنني رؤية سجل المكالمات الخاص بي؟,How can I view my call history?
شحال خصني باش نرجع الخط ديالي مفعل؟,Ch7al khasni bach nrj3 l khat dyali mfa3al?,كم المدة اللازمة لإعادة تفعيل خطي؟,How long does it take to reactivate my line?
كيفاش نتاكد من صلاحية كارت سيم ديالي؟,Kifash nta2akd mn salahiyat kart SIM dyali?,كيف يمكنني التأكد من صلاحية بطاقة SIM الخاصة بي؟,How can I verify the validity of my SIM card?
شنو هي نقاط الويفي اللي نقدر نوصل ليها فالباك ديالي,Shno hiya n9att Wi-Fi lli n9dr nwsl liha f pak dyali?,ما هي نقاط الواي فاي التي أستطيع استخدامها ضمن خطتي؟,What Wi-Fi hotspots can I access in my plan?
كيفاش نقدر نبدل العرض ديال الانترنت ديالي؟,Kifash n9dr nbdl l3ard dyal l internet?,كيف يمكنني تغيير باقة الإنترنت الخاصة بي؟,How can I change my internet package?
شحال الثمن ديال الدقايق الزايدة خارج العرض ديالي؟,Ch7al thaman dyal d9ay9 zayda 5arj lpak dyali?,ما هو ثمن الدقائق الزائدة على الباقة؟,What is the cost of extra minutes beyond my plan?
كيفاش ندير باش نوقف الاشتراك الشهري؟,Kifash ndir bach nwaqf l ishtirak shhri?,كيف يمكنني إلغاء الاشتراك الشهري؟,How can I cancel my monthly subscription?
شنو الخدمات المجانية المضمنة في خطتي؟,Chno l khidmat l majania l madhmouja f khdti?,ما هي الخدمات المجانية المضمنة في خطتي؟,What free services are included in my plan?
كيفاش نقدر ندير ربط بين هاتفي وجهاز آخر؟,Kifash nqdr ndir rabt bin hatfi w jihaz akhor?,كيف يمكنني ربط هاتفي بجهاز آخر؟,How can I tether my phone to another device?
شحال تكلفة المكالمات نحو الأرقام الخاصة؟,Ch7al taklifa mkalamat na7o l ar9am lkhasa?,ما هي تكلفة المكالمات إلى الأرقام الخاصة؟,What is the cost of calls to special numbers?
شنو خاصني ندير إذا الباقة ديالي سالات؟,Chno khasni ndir ila l ba9a dyali salat?,ماذا أفعل إذا انتهت باقة الإنترنت الخاصة بي؟,What should I do if my internet package runs out?
كيفاش نقدر نفعل التنبيه لما يخلص الرصيد ديالي؟,Kifash nqdr nf3al tanbih lma ykhlas l rsid dyali?,كيف يمكنني تفعيل تنبيه عند انتهاء الرصيد؟,How can I activate a notification when my balance runs out?
شحال ثمن استبدال بطاقة SIM؟,Ch7al thaman dyal istibdal SIM card?,ما هي تكلفة استبدال بطاقة SIM؟,What is the cost of replacing a SIM card?
كيفاش ندير تحديث معلوماتي الشخصية؟,Kifash ndir tahdith l ma3loumat shakhsiya dyali?,كيف يمكنني تحديث معلوماتي الشخصية؟,How can I update my personal information?
شنو الزيادات اللي تقدرو تضيفوها للباقة ديالي؟,Chno l ziyatat lli tqadro tzidoha f ba9a dyali?,ما هي الإضافات التي يمكنكم توفيرها في خطتي؟,What add-ons can I get for my plan?
كيفاش نقدر نوقف الإعلانات النصية؟,Kifash nqdr nwaqf l i3lanat l nasiyya?,كيف يمكنني إيقاف الإعلانات النصية؟,How can I stop text advertisements?
شنو خاصني ندير إذا ما توصلتش بالمكالمات؟,Chno khasni ndir ila ma twsltech b mkalamat?,ماذا أفعل إذا لم تصلني المكالمات؟,What should I do if I’m not receiving calls?
شحال خاصني باش نكمل تحميل هاد التطبيق؟,Ch7al khasni bach nkml tahmil had ttabiq?,كم أحتاج من الوقت لإنهاء تحميل هذا التطبيق؟,How much data/time do I need to finish downloading this app?
كيفاش نقدر نفعل خاصية الرسائل المتعددة الوسائط؟,Kifash nqdr nf3al khassiyat rasail mt3adda lwasa2it?,كيف يمكنني تفعيل خاصية الرسائل متعددة الوسائط؟,How can I activate multimedia messaging (MMS)?
شحال مدة تفعيل بطاقة SIM جديدة؟,Ch7al modt tf3il SIM card jdida?,كم من الوقت يستغرق تفعيل بطاقة SIM جديدة؟,How long does it take to activate a new SIM card?
شنو الخطوات لاستعادة الرقم ديالي؟,Chno l khotwat li raja3 l ra9m dyali?,ما هي الخطوات لاستعادة رقمي المفقود؟,What are the steps to recover my lost number?
كيفاش نقدر نعرف شحال خاصني ديال الرصيد؟,Kifash nqdr n3rf ch7al khasni dial l rsid?,كيف يمكنني معرفة الرصيد المطلوب لدي؟,How can I check how much credit I need?
شنو الويفايات المجانية اللي يقدرو يخدمو عندكم؟,Chno l wifi points l majania lli tqadro t3tiw?,ما هي نقاط الواي فاي المجانية التي تقدمونها؟,What free Wi-Fi hotspots do you provide?
كيفاش نقدر نتصل بدعم العملاء عبر الإنترنت؟,Kifash nqdr ntasil b da3m l3omala 3an tari9 l internet?,كيف يمكنني الاتصال بدعم العملاء عبر الإنترنت؟,How can I contact customer support online?
كيفاش نقدر نغير الرقم السري ديال الواي فاي؟,Kifash nqdr nghyer ra9m sirri dyal wifi?,كيف يمكنني تغيير الرقم السري للواي فاي؟,How can I change my Wi-Fi password?
شحال تكلفة الإنترنت الإضافي في خطتي؟,Ch7al taklifa dial l internet ida fi khdti?,ما هي تكلفة الإنترنت الإضافي في خطتي؟,What is the cost of additional internet in my plan?
كيفاش نقدر نعرف شحال بقا ليا من الرصيد؟,Kifash nqdr n3rf ch7al b9a lya mn rsid?,كيف يمكنني معرفة الرصيد المتبقي لدي؟,How can I check my remaining balance?
شنو ندير إذا فقدت هاتفي؟,Chno ndir ila f9dt hatfi?,ماذا أفعل إذا فقدت هاتفي؟,What should I do if I lose my phone?
شنو الخدمة المناسبة لي باش نستخدمها خارج البلاد؟,Chno l khidma l monasba bach nsta3mlha kharej lblad?,ما هي الخدمة الأنسب لي أثناء السفر؟,What is the best service for me while traveling?
شحال مدة الانتظار باش نرد على مكالمتي؟,Ch7al modt l intidar bach nrdd 3la mkalamat?,كم مدة الانتظار للرد على مكالمتي؟,What is the waiting time to answer my call?
كيفاش نقدر نسجل المكالمات ديالي؟,Kifash nqdr nsjl l mkalamat dyali?,كيف يمكنني تسجيل مكالماتي؟,How can I record my calls?
كيفاش نقدر نشغل خاصية عدم الإزعاج؟,Kifash nqdr nshghl khasiyat 3dm l iz3aj?,كيف يمكنني تفعيل خاصية عدم الإزعاج؟,How can I enable the 'Do Not Disturb' feature?
شحال خصني من الوقت باش نتوصل بجهاز جديد؟,Ch7al khasni mn l waqt bach ntwasl b jihaz jdida?,كم أحتاج من الوقت لاستلام جهاز جديد؟,How long will it take to receive a new device?
شنو الخدمة اللي كتدعم الدفع الإلكتروني؟,Chno l khidma lli katd3m l dafa3 l elektroniyya?,ما هي الخدمة التي تدعم الدفع الإلكتروني؟,What services support online payments?
شحال سرعة التحميل فهاد الخطة؟,Ch7al sor3a dial t7mil f had l pak,ما هي سرعة التحميل في هذه الخطة؟,What is the download speed in this plan?
كيفاش نقدر نغير عنوان الفاتورة ديالي؟,Kifash nqdr nghyer 3nwan l fatoura dyali?,كيف يمكنني تغيير عنوان الفاتورة الخاصة بي؟,How can I change my billing address?
شحال خصني باش نحل مشكل الشبكة؟,Ch7al khasni bach nhll mochkil shabka?,كم أحتاج من الوقت لحل مشكلة الشبكة؟,How long will it take to resolve a network issue?
شنو خاصني ندير باش نزيد باقة ديال المكالمات؟,Chno khasni ndir bach nzid ba9a dial l mkalamat?,ماذا أفعل لإضافة باقة مكالمات جديدة؟,What should I do to add a new call package?
شنو هي القنوات اللي يقدرو يخدمو فالباقة ديالي؟,Chno hiya l qanawat lli y9dro ykhdmo f l ba9a dyali?,ما هي القنوات التي يمكنني استخدامها في خطتي؟,What channels are available in my plan?
كيفاش نقدر نغير تاريخ الدفع الشهري؟,Kifash nqdr nghyer tareekh l dafa3 shhri?,كيف يمكنني تغيير تاريخ الدفع الشهري؟,How can I change my monthly payment date?
شحال خصني باش نفعل الإنترنت في هاتفي؟,Ch7al khasni bach nf3l l internet f hatfi?,كم أحتاج من الوقت لتفعيل الإنترنت على هاتفي؟,How long does it take to activate internet on my phone?
شنو خاصني باش نفعل المكالمات الدولية؟,Chno khasni bach nf3l mkalamat dwaliya?,ما الذي أحتاجه لتفعيل المكالمات الدولية؟,What do I need to activate international calls?
كيفاش نقدر نعرف واش خطي خدام مزيان؟,Kifash nqdr n3rf wach l khat dyali khdam mzyan?,كيف يمكنني التأكد من أن خطي يعمل بشكل جيد؟,How can I check if my line is working properly?
كيفاش نقدر نفعل الخدمة ديال البريد الصوتي المرئي؟,Kifash nqdr nf3al lkhidma dyal lbarid sawti mar2i?,كيف يمكنني تفعيل خدمة البريد الصوتي المرئي؟,How can I activate the visual voicemail service?
واش نقدر نشارك الباقة ديال البيانات ديالي مع جهاز آخر؟,Wash nqdr ncharak lba9a dyal lbayanat dyali m3a jihaz akhor?,هل يمكنني مشاركة باقة البيانات الخاصة بي مع جهاز آخر؟,Can I share my data plan with another device?
كيفاش نقدر نتأكد من الرصيد ديالي؟,Kifash nqdr nt2akkad mn errsid dyali?,كيف يمكنني التحقق من رصيدي؟,How can I check my credit balance?
التليفون ديالي ما كيشدش الشبكة، شنو ندير؟,"L-telephone dyali ma kaychddch eshabka, chno ndir?",هاتفي لا يلتقط الشبكة، ماذا أفعل؟,"My phone doesn't get network signal, what should I do?"
كيفاش نقدر نمدد الصلاحية ديال الباقة ديالي؟,Kifash nqdr nmdded ssalahiya dyal lba9a dyali?,كيف يمكنني تمديد صلاحية باقتي؟,How can I extend the validity of my plan?
واش عندكم عروض خاصة بالطلبة؟,Wash 3ndkom 3roud khassa b ttalaba?,هل لديكم عروض خاصة بالطلاب؟,Do you have special offers for students?
كيفاش نقدر نخلي التليفون يرسلني نوتيفيكاسيونات ديال الاستهلاك؟,Kifach nqdr nkhali telefoun yerssli notifications dyal l'isti7lak?,كيف يمكنني تفعيل إشعارات الاستهلاك؟,How can I activate consumption notifications?
كيجيني مكالمات مزعجة، كيفاش نقدر نبلوكيهم,"Kayjini mkalamat moz3ija, kifach n9dr nblokihom",تصلني مكالمات مزعجة، كيف يمكنني حظرها؟,"I'm receiving unwanted calls, how can I block them?"
واش التليفون ديالي متوافق مع 5G؟,Wash l-telephone dyali mtwafaq m3a 5G?,هل هاتفي متوافق مع تقنية الجيل الخامس؟,Is my phone compatible with 5G?
كيفاش نقدر نسترجع الكود PIN ديالي؟,Kifash nqdr nstrj3 l-code PIN dyali?,كيف يمكنني استعادة رمز PIN الخاص بي؟,How can I retrieve my PIN code?
واش نقدر نخلص الفاتورة ديالي عبر الإنترنت؟,Wash n9dr n5allas l-fatoura dyali 3br linternet?,هل يمكنني دفع فاتورتي عبر الإنترنت؟,Can I pay my bill online?
كيفاش نقدر نبدل اللغة ديال الميساج الصوتي؟,Kifach n9dr nbdl llogha dyal lmessage sawti?,كيف يمكنني تغيير لغة الرد الآلي الخاص بي؟,How can I change the language of my voicemail?
ضيعت الكود ديال التعبئة، شنو ندير؟,"Day3t l-code dyal t3bi2a, chno ndir?",أضعت رمز التعبئة، ماذا أفعل؟,"I lost my recharge code, what should I do?"
واش خدمة الزباين متوفرة 24 ساعة؟,Wach 5idma dyal zabayn mtwafra 24 sa3a?,هل خدمة العملاء متاحة على مدار 24 ساعة؟,Is customer service available 24 hours?
كيفاش نقدر نفعّل الأنترنت فالخارج؟,Kifach n9dr nfa3al l-internet f l5rij?,كيف يمكنني تفعيل البيانات المتنقلة أثناء السفر؟,How can I activate mobile data abroad?
واش نقدر ناخد تخفيض إذا جددت العقد ديالي؟,Wach nqdr na5od ta5fid ila jddit l-39d dyali?,هل يمكنني الحصول على تخفيض عند تجديد عقدي؟,Can I get a discount if I renew my contract?
الشاشة ديالي تهرسات، واش الضمان كيغطيها؟,"Chacha dyali therssat, wach ddman kayghattiha?",تحطمت شاشتي، هل يشملها الضمان؟,"My screen is broken, does the warranty cover it?"
كيفاش نقدر نحول الكونتاكت ديالي لتليفون جديد,Kifach n9dr nhwel lcontact dyali ltelephone jdid?,كيف يمكنني نقل جهات الاتصال إلى هاتف جديد؟,How can I transfer my contacts to a new phone?
واش نقدر نوقف الخط ديالي مؤقتًا؟,Wash n9dr nwa9af l5at dyali mo'a9atan?,هل يمكنني تعليق خطي مؤقتًا؟,Can I temporarily suspend my line?
كيفاش نقدر نفعّل جوج كارت سيم فالتليفون ديالي,Kifash n9dr nf3l juj kart sim f tli9fon dyali?,كيف يمكنني تفعيل الشريحة المزدوجة على هاتفي؟,How can I activate dual SIM on my phone?
